"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.681666472E-4,-3.298091583E0,-8.242160339E0,-1.299148407E0
9.894833318E-3,-3.428620148E0,-8.226742401E0,-1.342558136E0
1.995883335E-2,-3.196902008E0,-8.143814850E0,-1.588796082E0
3.002283332E-2,-2.365231476E0,-7.839946747E0,-1.751956787E0
4.008683335E-2,-1.199455719E0,-7.485334167E0,-2.040257263E0
5.014983332E-2,-5.113366699E-1,-7.736212463E0,-2.260000305E0
6.021383335E-2,-4.318519592E-1,-8.418044586E0,-2.144290924E0
7.027783332E-2,-9.198371887E-1,-9.188193054E0,-1.837279358E0
8.034183335E-2,-1.285526733E0,-9.659113770E0,-1.655108185E0
9.040483332E-2,-8.833131409E-1,-9.774823151E0,-1.512005768E0
1.004688333E-1,-7.945477295E-1,-9.762997742E0,-1.438209229E0
1.105328333E-1,-1.505718842E0,-9.763446808E0,-1.498234406E0
1.205958333E-1,-2.550995178E0,-9.630822601E0,-1.592987366E0
1.306598333E-1,-3.627855835E0,-9.303603058E0,-1.863175507E0
1.407238333E-1,-4.479135590E0,-8.908424835E0,-2.482288055E0
1.507878333E-1,-4.946463776E0,-8.519084473E0,-3.167563019E0
1.608508333E-1,-5.089266815E0,-8.296048279E0,-3.696263580E0
1.709148333E-1,-5.113666077E0,-8.201145630E0,-3.998185730E0
1.809788333E-1,-4.932542725E0,-8.017477570E0,-3.913162537E0
1.910418334E-1,-4.699926453E0,-7.733518066E0,-3.339555359E0
2.011058333E-1,-4.364174652E0,-7.497758331E0,-2.383792877E0
2.111698333E-1,-4.046684875E0,-7.449259186E0,-1.409468994E0
2.212338333E-1,-3.837420044E0,-7.532336426E0,-7.773335266E-1
2.312968334E-1,-3.792513428E0,-7.725285187E0,-6.765930176E-1
2.413608333E-1,-3.670966187E0,-7.924221497E0,-9.711804199E-1
2.514248333E-1,-3.632196808E0,-8.152197418E0,-1.627266083E0
2.614888333E-1,-3.626957703E0,-8.518635406E0,-2.379900970E0
2.715518334E-1,-3.441493378E0,-9.359736328E0,-2.782713318E0
2.816158333E-1,-4.056863708E0,-1.086560486E1,-2.758463745E0
2.916798333E-1,-5.082530823E0,-1.235126541E1,-2.221230927E0
3.017428333E-1,-5.767955475E0,-1.329595093E1,-1.043480072E0
3.118068334E-1,-6.144123230E0,-1.338980576E1,6.689588928E-1
3.218708333E-1,-5.979914703E0,-1.261950760E1,2.215542755E0
3.319348333E-1,-5.634582825E0,-1.142289597E1,2.689457245E0
3.419978333E-1,-5.106780396E0,-1.029588959E1,2.131567383E0
3.520618334E-1,-4.171225891E0,-9.380093994E0,1.128503265E0
3.621258333E-1,-2.946772156E0,-8.624615021E0,-2.444416809E-1
3.721898333E-1,-1.704804840E0,-8.096962280E0,-1.694027252E0
3.822528333E-1,-9.054670715E-1,-7.608378296E0,-1.641935577E0
3.923168334E-1,-9.713301086E-1,-7.041956177E0,1.467548218E0
4.023808333E-1,-1.233734436E0,-6.467899933E0,5.209466858E0
4.124438334E-1,-8.105644226E-1,-6.181695099E0,6.477030945E0
4.225078333E-1,-8.666976929E-2,-6.322402496E0,6.193969574E0
4.325718334E-1,1.309776306E-1,-6.991660767E0,5.338199158E0
4.426358333E-1,-3.417393494E-1,-8.407865753E0,3.946243744E0
4.526988334E-1,-7.009922791E-1,-1.063732956E1,-9.494755554E-1
4.627628333E-1,-6.262976074E-1,-1.357691666E1,-8.813522186E0
4.728268334E-1,-4.174818420E-1,-1.510598694E1,-9.128317566E0
4.828908333E-1,7.020401001E-2,-1.471964035E1,-4.499642944E0
4.929538334E-1,5.249583435E-1,-1.315419571E1,-5.604345703E-1
5.030178333E-1,1.706451416E-1,-1.098805023E1,1.346150665E0
5.130818334E-1,-1.110091553E0,-9.277108154E0,1.699865112E0
5.231458333E-1,-1.520538025E0,-8.412206726E0,1.084794159E0
5.332088334E-1,-1.096918945E0,-8.133486328E0,-2.652484131E-1
5.432728333E-1,-6.462062073E-1,-8.423433380E0,-1.638941803E0
5.533368334E-1,-5.463638306E-1,-9.247020721E0,-2.266436920E0
5.633998333E-1,-5.252577209E-1,-1.009231293E1,-2.174977112E0
5.734638334E-1,-4.049079895E-1,-1.044363235E1,-1.872306519E0
5.835278333E-1,-3.016227722E-1,-1.045740372E1,-1.502874756E0
5.935918334E-1,-2.341131592E-1,-1.020053787E1,-1.384021912E0
6.036548333E-1,-2.612068176E-1,-9.658964081E0,-1.390458527E0
6.137188334E-1,-3.131488037E-1,-8.914562073E0,-1.291364594E0
6.237828333E-1,-4.628375244E-1,-8.264164581E0,-8.807684326E-1
6.338468334E-1,-6.658154297E-1,-7.878716125E0,-4.598437500E-1
6.439098333E-1,-8.066725159E-1,-7.983947296E0,-5.272036743E-1
6.539738334E-1,-7.839198303E-1,-8.412805481E0,-8.168513489E-1
6.640378333E-1,-6.201603699E-1,-8.952583008E0,-9.903405762E-1
6.741008334E-1,-3.697311401E-1,-9.363777924E0,-1.108295288E0
6.841648333E-1,-2.562670898E-1,-9.591304779E0,-9.572593689E-1
6.942288334E-1,-3.757186890E-1,-9.497300262E0,-8.592132568E-2
7.042928333E-1,-5.932164001E-1,-8.999136200E0,9.328601074E-1
7.143558334E-1,-8.810678101E-1,-8.588540039E0,1.063089294E0
7.244198333E-1,-1.114133148E0,-8.546477509E0,3.182382202E-1
7.344838334E-1,-1.218615875E0,-8.875343628E0,-5.680686951E-1
7.445478333E-1,-1.319955139E0,-9.317673798E0,-9.449848938E-1
7.546108334E-1,-1.666185150E0,-9.828262024E0,-1.167871399E0
7.646748333E-1,-2.313289490E0,-1.042971130E1,-1.510359192E0
7.747388334E-1,-2.834954681E0,-1.061367874E1,-1.270557861E0
7.848028333E-1,-3.020269318E0,-1.023481659E1,1.606159973E-1
7.948658334E-1,-2.724634094E0,-9.222771149E0,1.726809082E0
8.049298333E-1,-1.929487610E0,-7.982600098E0,2.759062500E0
8.149938334E-1,-1.145867157E0,-7.583529968E0,3.187022552E0
8.250568333E-1,-8.740324402E-1,-8.904682617E0,2.196382599E0
8.351208334E-1,-1.309027863E0,-1.187136337E1,-7.845185852E-1
8.451848333E-1,-2.126328278E0,-1.637130569E1,-6.065836029E0
8.552488334E-1,-2.748883667E0,-2.183150116E1,-9.097631378E0
8.653118333E-1,-2.596201172E0,-2.634701111E1,-5.792354736E0
8.753758334E-1,-1.548978882E0,-2.891507080E1,-1.095721436E0
8.854398333E-1,-2.621049500E-1,-2.984808060E1,-1.047821045E-1
8.955038334E-1,1.236279144E0,-2.847318970E1,-1.125060425E0
9.055668333E-1,2.263592834E0,-2.317495743E1,-1.638043671E0
9.156308334E-1,1.467099152E0,-1.731868561E1,-1.713935852E0
9.256948333E-1,1.441502380E-1,-1.336810089E1,-1.428329773E0
9.357588334E-1,-7.216493225E-1,-1.019020935E1,-1.173709259E0
9.458218333E-1,-1.157991943E0,-7.313940582E0,-1.167871399E0
9.558858334E-1,-1.400188293E0,-4.785249023E0,-1.454674988E0
9.659498333E-1,-1.478924561E0,-2.662363586E0,-1.666484528E0
9.760128334E-1,-1.356778564E0,-1.033899994E0,-1.586550751E0
9.860768333E-1,-1.232836304E0,1.264869690E-1,-1.388662262E0
9.961408334E-1,-1.049467621E0,8.711883545E-1,-6.891668701E-1
1.006204833E0,-8.295748901E-1,1.369951172E0,2.077679443E-1
1.016267833E0,-6.732998657E-1,1.904190216E0,8.111631775E-1
1.026331833E0,-5.493576050E-1,2.589914246E0,8.442443848E-1
1.036395833E0,-4.291575623E-1,3.099005585E0,5.339396667E-1
1.046459833E0,-3.391946411E-1,3.351081390E0,2.664459229E-2
