"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.605833335E-3,-2.323513329E-1,-3.871271610E-1,-4.687486291E-1
1.366883336E-2,-2.362781614E-1,-2.753729224E-1,-4.511094391E-1
2.373283333E-2,-1.933957934E-1,-2.895388901E-1,-4.449667037E-1
3.379683336E-2,-7.075004280E-2,-4.663464129E-1,-4.128769338E-1
4.386083334E-2,1.040597484E-1,-6.964913011E-1,-3.501985967E-1
5.392383336E-2,2.529115379E-1,-9.751562476E-1,-2.645739615E-1
6.398783333E-2,3.744424880E-1,-1.405398369E0,-1.778981686E-1
7.405183336E-2,4.017169774E-1,-1.763624668E0,-8.073087782E-2
8.411583334E-2,3.002738655E-1,-1.861227512E0,1.114238426E-1
9.417883336E-2,1.307103783E-1,-1.796244621E0,3.247867227E-1
1.042428333E-1,-5.480690300E-2,-1.590510845E0,4.706310928E-1
1.143068334E-1,-2.486671805E-1,-1.379720092E0,5.615468621E-1
1.243698333E-1,-4.027104378E-1,-1.338108897E0,5.726125240E-1
1.344338334E-1,-4.908277988E-1,-1.416134477E0,4.886657000E-1
1.444978333E-1,-5.100014210E-1,-1.489448428E0,3.283025324E-1
1.545618334E-1,-4.751090109E-1,-1.505482078E0,1.428871453E-1
1.646248333E-1,-3.900824189E-1,-1.423084497E0,-6.382615864E-2
1.746888334E-1,-2.704324424E-1,-1.244109392E0,-2.614257634E-1
1.847528333E-1,-1.267261058E-1,-1.109733343E0,-4.231614470E-1
1.948158334E-1,3.857231140E-2,-1.118319631E0,-5.069005489E-1
2.048798333E-1,1.447818726E-1,-1.231832266E0,-4.984690249E-1
2.149438334E-1,2.095648646E-1,-1.466806412E0,-4.641001225E-1
2.250078333E-1,2.466478944E-1,-1.745239258E0,-4.571158886E-1
2.350708334E-1,2.692455947E-1,-1.987661719E0,-4.885550439E-1
2.451348333E-1,2.714345753E-1,-2.066133261E0,-5.390467644E-1
2.551988334E-1,2.900620699E-1,-2.002465725E0,-5.934284925E-1
2.652628333E-1,4.312049150E-1,-2.007291794E0,-5.576807261E-1
2.753258334E-1,5.957602859E-1,-1.838597298E0,-4.827502668E-1
2.853898333E-1,6.967983246E-1,-1.490238547E0,-4.357256889E-1
2.954538334E-1,6.629421115E-1,-1.077718616E0,-3.648906350E-1
3.055168333E-1,4.869375825E-1,-7.487186790E-1,-2.231990546E-1
3.155808334E-1,1.988376081E-1,-6.301840544E-1,-4.747681320E-3
3.256448333E-1,-6.327258795E-2,-8.249529004E-1,1.862510443E-1
3.357088334E-1,-2.016107440E-1,-1.270598054E0,3.135165870E-1
3.457718333E-1,-2.325879186E-1,-1.819207788E0,3.803545237E-1
3.558358334E-1,-1.792405397E-1,-2.306360006E0,3.677409887E-1
