"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.664375018E-3,-5.115462341E0,-4.136797485E0,4.995112610E0
1.672737504E-2,-5.385051727E0,-3.862268372E0,5.147046661E0
2.679037501E-2,-6.157295837E0,-3.444636841E0,5.137017517E0
3.685437504E-2,-7.370672607E0,-3.050057373E0,5.302872620E0
4.691737500E-2,-8.700058136E0,-2.728975067E0,5.603597260E0
5.698037503E-2,-9.723330231E0,-2.254611511E0,5.877377930E0
6.704337505E-2,-1.064541275E1,-1.715432739E0,4.951104126E0
7.710737502E-2,-1.093625793E1,-2.147284698E0,2.756218414E0
8.717037505E-2,-1.102068237E1,-3.421734467E0,1.832339630E0
9.723337501E-2,-1.089659042E1,-4.845124512E0,3.038681030E0
1.072973750E-1,-1.061936691E1,-5.889951782E0,5.313650208E0
1.173603750E-1,-1.061293030E1,-6.225404205E0,6.291267242E0
1.274233750E-1,-1.070977890E1,-6.155050507E0,5.933511200E0
1.374863751E-1,-1.079315552E1,-5.993985443E0,5.380112000E0
1.475503750E-1,-1.096933914E1,-5.415288849E0,4.278253326E0
1.576133750E-1,-1.123294098E1,-4.399501190E0,2.840942230E0
1.676763750E-1,-1.103445374E1,-3.137026520E0,2.211950226E0
1.777403750E-1,-1.030023056E1,-1.746717682E0,2.722388763E0
1.878033750E-1,-9.256301422E0,-4.614903259E-1,3.732637939E0
1.978663750E-1,-8.207582245E0,4.731660461E-1,4.601131897E0
2.079293750E-1,-7.284601593E0,9.303153992E-1,4.883744202E0
2.179933750E-1,-6.448739777E0,9.328601074E-1,4.607269135E0
2.280596250E-1,-5.817951508E0,5.370831299E-1,4.704566803E0
2.381226250E-1,-5.619314575E0,-5.956114197E-1,5.748346252E0
2.481866250E-1,-5.649551697E0,-2.187550964E0,7.070097656E0
2.582496250E-1,-5.467081146E0,-3.491938477E0,7.834557953E0
2.683126250E-1,-5.173541565E0,-4.341122589E0,7.579638062E0
2.783756250E-1,-4.866679688E0,-4.840184784E0,6.645281067E0
2.884396250E-1,-4.443958740E0,-4.960384827E0,5.893095245E0
2.985026250E-1,-4.033212891E0,-4.745731201E0,5.412744141E0
3.085656250E-1,-3.762126617E0,-4.400249634E0,5.125491486E0
3.186296250E-1,-3.923191681E0,-4.327051849E0,4.995861053E0
3.286926250E-1,-4.853357391E0,-4.663402405E0,5.107678528E0
3.387556250E-1,-6.120771790E0,-4.982089691E0,5.466332703E0
3.488196250E-1,-7.368726654E0,-5.201533356E0,5.797893219E0
3.588826250E-1,-8.496032410E0,-5.253774719E0,5.813760223E0
3.689456250E-1,-9.393416290E0,-5.084776154E0,5.670508118E0
3.790086251E-1,-9.813742218E0,-4.550088043E0,5.746699677E0
3.890726250E-1,-9.594597931E0,-3.579207001E0,5.838309174E0
3.991356250E-1,-8.855584717E0,-2.602787476E0,5.775140533E0
4.091986250E-1,-7.888146515E0,-2.054328003E0,5.995033264E0
4.192626250E-1,-7.000193024E0,-1.961520996E0,6.721622314E0
4.293256250E-1,-6.401288452E0,-2.204016724E0,7.813751221E0
4.393886250E-1,-5.969885559E0,-2.565814362E0,8.812923431E0
4.494526250E-1,-5.736071777E0,-2.972967682E0,9.437125397E0
4.595156250E-1,-5.498066711E0,-3.116070099E0,9.573342133E0
4.695786251E-1,-5.306016083E0,-2.969524841E0,9.029373322E0
4.796416250E-1,-5.453609161E0,-2.775528259E0,8.124954071E0
4.897056250E-1,-6.170019379E0,-2.747536469E0,7.212900696E0
4.997686250E-1,-7.139253845E0,-2.843486938E0,6.258335724E0
5.098316250E-1,-7.997119904E0,-2.914888458E0,5.334007874E0
5.198956250E-1,-8.687783661E0,-2.880609741E0,4.821773071E0
5.299586250E-1,-9.077273712E0,-2.710263977E0,4.721032562E0
5.400216251E-1,-8.941506042E0,-2.308349762E0,4.700076141E0
5.500846250E-1,-8.138575745E0,-1.986668701E0,4.551884308E0
5.601486251E-1,-6.890171814E0,-2.170187073E0,4.394112396E0
5.702116250E-1,-5.722450104E0,-2.858006744E0,4.592599640E0
5.802746250E-1,-4.958588562E0,-3.749403076E0,5.494174805E0
5.903386250E-1,-4.337679749E0,-4.613106995E0,6.799460449E0
6.004016250E-1,-3.680845642E0,-5.260660400E0,7.846533051E0
6.104646250E-1,-2.963986359E0,-5.667514343E0,8.391250305E0
6.205286250E-1,-2.055525513E0,-5.759722595E0,8.522527313E0
6.305916251E-1,-1.016536102E0,-5.486540680E0,8.540789337E0
6.406546250E-1,-1.454974365E-1,-4.850513306E0,8.345445557E0
6.507186251E-1,3.412902832E-1,-4.063599701E0,7.708370361E0
6.607816250E-1,4.279600525E-1,-3.209625549E0,6.697522430E0
6.708446250E-1,-1.157093811E-1,-2.481838989E0,5.416935425E0
6.809076250E-1,-1.176253967E0,-2.194137268E0,4.559069366E0
6.909716250E-1,-2.226769409E0,-1.999242554E0,4.058959351E0
7.010346250E-1,-3.158731384E0,-1.684147797E0,3.788471832E0
7.110976250E-1,-4.087250519E0,-1.278641052E0,3.860023041E0
7.211616250E-1,-5.391638031E0,-6.700067139E-1,4.348756714E0
7.312246250E-1,-7.583230591E0,4.611909485E-1,5.500312042E0
7.412876250E-1,-1.044857208E1,1.489253082E0,6.572382660E0
7.513516250E-1,-1.289149200E1,1.814676361E0,5.787564697E0
7.614146250E-1,-1.478385681E1,1.880240021E0,4.649930420E0
7.714776250E-1,-1.476245132E1,2.038760376E0,4.356241150E0
7.815416250E-1,-1.160012741E1,2.377955017E0,4.452191620E0
7.916046250E-1,-7.477250977E0,2.009571075E0,4.731959839E0
8.016676250E-1,-5.411247253E0,1.396446075E0,4.317471771E0
8.117306250E-1,-4.656816101E0,5.427713013E-1,3.912863159E0
8.217946250E-1,-4.406835938E0,-3.872447205E-1,3.879332886E0
8.318576250E-1,-4.431833954E0,-1.053958282E0,3.979774017E0
8.419206250E-1,-4.445305939E0,-1.275497589E0,4.187092896E0
8.519846250E-1,-4.190535736E0,-1.196761322E0,4.549638977E0
8.620476250E-1,-3.837719421E0,-1.101259918E0,5.203628998E0
8.721106250E-1,-3.665577393E0,-1.207987976E0,6.125711517E0
8.821746250E-1,-3.685186615E0,-1.461111603E0,7.123386841E0
8.922376250E-1,-3.830085297E0,-1.800156555E0,8.059839478E0
9.023006250E-1,-4.178860016E0,-2.167043610E0,8.791967010E0
9.123646250E-1,-4.814288635E0,-2.432292023E0,9.277257843E0
9.224276250E-1,-5.651347961E0,-2.339634705E0,9.287286987E0
9.324906250E-1,-6.503525848E0,-1.873504028E0,9.098828888E0
9.425546250E-1,-7.404352570E0,-1.198258209E0,9.055419159E0
9.526176250E-1,-8.442144470E0,-4.424798584E-1,9.230255585E0
9.626806250E-1,-9.415869598E0,3.670367432E-1,9.526190186E0
9.727446250E-1,-1.000145187E1,1.265767822E0,9.846973114E0
9.828076250E-1,-9.994266815E0,2.214644623E0,1.005758514E1
9.928706251E-1,-9.320817261E0,3.179538116E0,9.987081757E0
1.002933625E0,-8.424780579E0,3.876488800E0,9.673334198E0
1.012997625E0,-7.795788574E0,4.251309357E0,9.332642670E0
1.023060625E0,-7.567812653E0,4.455035706E0,9.095835114E0
1.033123625E0,-7.750432892E0,4.416565704E0,9.062304840E0
1.043187625E0,-8.086783447E0,3.860023041E0,9.185947723E0
1.053250625E0,-7.992329865E0,3.029699707E0,9.572743378E0
1.063313625E0,-7.472311249E0,1.977986755E0,1.029843430E1
1.073377625E0,-6.761289825E0,8.078700256E-1,1.088730972E1
1.083440625E0,-6.114933929E0,-7.020401001E-2,1.080243622E1
1.093503625E0,-5.723198547E0,-6.239025879E-1,1.019245468E1
1.103567625E0,-5.583988037E0,-9.533674622E-1,9.539063416E0
1.113630625E0,-5.594915314E0,-1.090482330E0,9.220825195E0
1.123693625E0,-5.457201691E0,-8.080197144E-1,8.991502075E0
1.133757625E0,-5.356610870E0,-2.456391907E-1,8.987460480E0
1.143820625E0,-1.051323761E1,-5.032534790E-1,2.386337585E1
1.153883625E0,-8.432414703E0,1.732497253E0,1.239527390E1
1.163947625E0,-5.125641174E0,1.702559509E0,8.276738434E0
1.174010625E0,-5.437891846E0,7.346722412E-1,1.104029160E1
1.184073625E0,-4.271068268E0,5.704637146E-1,8.799900513E0
1.194137625E0,-4.214635620E0,3.456312561E-1,8.770860901E0
1.204200625E0,-4.401147766E0,9.854008484E-1,8.554560699E0
1.214263625E0,-4.672533417E0,1.205143890E0,8.707243195E0
1.224323667E0,-4.556075592E0,1.179247742E0,8.945547638E0
1.234386667E0,-4.375251617E0,1.169218597E0,9.268126831E0
1.244449667E0,-4.080664215E0,9.831555176E-1,9.508227539E0
1.254513667E0,-3.899989929E0,9.901908875E-1,9.548793182E0
1.264576667E0,-3.842060394E0,9.177415466E-1,9.389374695E0
1.274639667E0,-3.868854675E0,5.435197449E-1,9.281000061E0
1.284703667E0,-3.986510010E0,2.490820312E-1,9.227411499E0
1.294766667E0,-4.123175812E0,1.651066589E-1,9.200766907E0
1.304829667E0,-4.141737213E0,9.520202637E-2,9.167685699E0
1.314893667E0,-4.016597443E0,8.532257080E-3,9.140142975E0
1.324956667E0,-3.863316193E0,9.056167603E-2,9.127718811E0
1.335019667E0,-3.792214050E0,3.718267822E-1,9.160051575E0
1.345083667E0,-3.694167938E0,9.132508850E-1,9.321565704E0
1.355146667E0,-3.682492218E0,1.526525574E0,9.660910034E0
1.365209667E0,-3.653751984E0,1.996398468E0,9.899364166E0
1.375273667E0,-3.803590393E0,1.773961029E0,9.771679688E0
1.385336667E0,-4.092639313E0,1.028361511E0,9.387428741E0
1.395399667E0,-4.338577881E0,5.905220032E-1,9.232351227E0
1.405463667E0,-4.707859955E0,2.936892700E-1,9.168583832E0
1.415526667E0,-5.281467133E0,1.899549866E-1,9.268575897E0
1.425589667E0,-6.143075409E0,5.054988098E-1,1.006312363E1
1.435653667E0,-7.274871826E0,1.164129181E0,1.146256348E1
1.445716667E0,-8.038733368E0,2.171234894E0,1.218720657E1
1.455779667E0,-8.229436798E0,3.326233063E0,1.189441544E1
1.465843667E0,-8.053552551E0,4.134552155E0,1.118788467E1
1.475906667E0,-7.660769348E0,4.070036316E0,1.024739044E1
1.485969667E0,-7.009024658E0,3.168311462E0,9.004375305E0
1.496033667E0,-6.410120087E0,2.133513336E0,7.747588806E0
1.506096667E0,-6.125112762E0,1.343755646E0,7.043902130E0
1.516159667E0,-6.152805176E0,8.945397949E-1,7.010222168E0
1.526223667E0,-6.218817902E0,8.800199890E-1,7.526797943E0
1.536286667E0,-6.156397705E0,1.082997894E0,8.378077698E0
1.546349667E0,-5.987997894E0,1.341510315E0,9.171577606E0
1.556413667E0,-5.745352478E0,1.494492188E0,9.668095093E0
1.566476667E0,-5.483546906E0,1.413959656E0,9.637259216E0
1.576539667E0,-5.193749542E0,1.136137390E0,9.067244568E0
1.586603667E0,-4.893773346E0,8.713380432E-1,8.415350189E0
1.596666667E0,-4.727618866E0,6.637197876E-1,8.093070374E0
1.606729667E0,-4.763244781E0,4.632865906E-1,8.047415314E0
1.616793667E0,-4.999303894E0,3.240760803E-1,8.190517731E0
1.626856667E0,-5.361849976E0,2.707868958E-1,8.396938477E0
1.636919667E0,-5.693709869E0,2.996768188E-1,8.559201050E0
1.646983667E0,-5.944887543E0,4.125421143E-1,8.549920349E0
1.657046667E0,-6.104605408E0,5.545967102E-1,8.365503845E0
1.667110667E0,-6.178551636E0,6.948550415E-1,8.147557068E0
1.677173667E0,-6.153703308E0,8.080197144E-1,8.026907959E0
1.687236667E0,-6.008505249E0,8.217910767E-1,7.936196594E0
1.697300667E0,-5.808072052E0,7.044351196E-1,7.816295929E0
1.707363667E0,-5.631888428E0,4.930746460E-1,7.757468262E0
1.717426667E0,-5.468428345E0,2.891986084E-1,7.820636902E0
1.727490667E0,-5.387596436E0,7.679031372E-2,8.011040955E0
1.737553667E0,-5.490582275E0,-2.140548706E-1,8.260122986E0
1.747616667E0,-5.664670258E0,-4.556524658E-1,8.509953461E0
1.757680667E0,-5.796096954E0,-5.328918457E-1,8.704099731E0
1.767743667E0,-5.836363220E0,-4.480183411E-1,8.713979187E0
1.777806667E0,-5.808820496E0,-2.579136658E-1,8.508306885E0
1.787870667E0,-5.697901154E0,-2.664459229E-2,8.195906525E0
1.797933667E0,-5.575605469E0,9.804611206E-2,7.887248383E0
1.807996667E0,-5.404361572E0,1.272354126E-1,7.538773041E0
1.818060667E0,-5.230123901E0,1.646575928E-3,7.092101898E0
1.828123667E0,-5.070555725E0,-3.264710999E-1,6.765930176E0
1.838186667E0,-4.955894165E0,-7.872129822E-1,6.548133087E0
1.848250667E0,-4.857249298E0,-1.245559845E0,6.359674988E0
1.858313667E0,-4.687801666E0,-1.575773163E0,6.199208679E0
1.868376667E0,-4.406536560E0,-1.648521881E0,5.990542603E0
1.878440667E0,-4.061354370E0,-1.420396271E0,5.775888977E0
1.888503667E0,-3.694467316E0,-9.963281250E-1,5.667065277E0
1.898567667E0,-3.323838043E0,-4.529580688E-1,5.756130066E0
1.908630667E0,-2.959495697E0,1.068777466E-1,5.907165985E0
1.918693667E0,-2.738255768E0,5.504054260E-1,5.826483765E0
1.928757667E0,-2.733316040E0,7.924520874E-1,5.414241028E0
1.938820667E0,-2.959046631E0,7.619155884E-1,4.904101868E0
1.948883667E0,-3.363655243E0,4.779560852E-1,4.423900452E0
1.958947667E0,-3.754791870E0,7.753875732E-2,3.991150360E0
1.969010667E0,-3.947141876E0,-2.820135498E-1,3.726800079E0
1.979073667E0,-4.039200439E0,-5.054988098E-1,3.621568909E0
1.989137667E0,-4.028273163E0,-4.900808716E-1,3.676354980E0
1.999200667E0,-3.899690552E0,-1.745370483E-1,3.887416077E0
2.009263667E0,-3.737577667E0,4.170327759E-1,4.009861450E0
2.019327667E0,-3.575464783E0,1.078656921E0,4.050277405E0
2.029390667E0,-3.426075439E0,1.427731018E0,4.318968658E0
2.039454667E0,-3.407663727E0,1.263971558E0,4.984185333E0
2.049517667E0,-3.546425171E0,6.897656250E-1,5.818400574E0
2.059580667E0,-3.864813080E0,-9.580078125E-2,6.530769196E0
2.069644667E0,-4.257596283E0,-7.912545776E-1,7.094945984E0
2.079707667E0,-4.518503723E0,-1.143921204E0,7.520660706E0
2.089770667E0,-4.491709442E0,-1.002465363E0,7.810308380E0
2.099834667E0,-4.305945740E0,-4.900808716E-1,8.069269867E0
2.109897667E0,-4.268224182E0,1.225950623E-1,8.344996490E0
2.119960667E0,-4.508025513E0,5.153782654E-1,8.564589844E0
2.130024667E0,-4.786446533E0,7.179071045E-1,8.767268372E0
2.140087667E0,-4.988077240E0,7.957452393E-1,8.974886627E0
2.150150667E0,-5.170098724E0,7.461982727E-1,9.098529510E0
2.160214667E0,-5.399721222E0,5.875282288E-1,8.991502075E0
2.170277667E0,-5.693111115E0,4.360432434E-1,8.778195648E0
2.180341667E0,-5.896837463E0,3.782633972E-1,8.733738098E0
2.190404667E0,-5.939049683E0,4.179309082E-1,8.862470398E0
2.200467667E0,-5.906716919E0,4.312532043E-1,9.054521027E0
2.210531667E0,-5.838907928E0,3.224295044E-1,9.142537994E0
2.220594667E0,-5.682483215E0,1.182540894E-1,9.063801727E0
2.230657917E0,-5.416336670E0,-5.688171387E-2,8.935368805E0
2.240721917E0,-5.038672028E0,-1.335223389E-1,8.888366547E0
2.250784917E0,-4.671036530E0,-1.475930786E-1,8.920549622E0
