"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.546937501E-2,8.353512883E-1,3.058750331E-1,-9.728780389E-1
2.553337504E-2,8.397881389E-1,4.251449704E-1,-9.032302499E-1
3.559637500E-2,7.813733220E-1,4.322997928E-1,-7.857896686E-1
4.565937503E-2,5.897999406E-1,1.371418983E-1,-6.537775993E-1
5.572337500E-2,1.642091721E-1,-1.140217662E0,-4.347765446E-1
6.578637502E-2,-1.343990769E-2,-2.206400633E0,-1.635439843E-1
7.584937505E-2,1.898541003E-1,-2.181768417E0,-4.471200332E-2
8.591237501E-2,4.162512720E-1,-1.474016070E0,-6.613420695E-2
9.597637504E-2,3.581655622E-1,-8.829469681E-1,-1.415919811E-1
1.060393750E-1,4.676216096E-2,-6.945488453E-1,-2.231680751E-1
1.161023750E-1,-3.011244535E-1,-6.586349010E-1,-2.564605474E-1
1.261663750E-1,-6.022685766E-1,-7.727404237E-1,-2.367944568E-1
1.362293750E-1,-8.026216626E-1,-1.042147756E0,-1.517379582E-1
1.462923751E-1,-7.671195865E-1,-1.192069054E0,-6.878448278E-2
1.563553750E-1,-5.052860975E-1,-9.146842360E-1,-6.404355913E-2
1.664193750E-1,-2.169717401E-1,-3.797039688E-1,-1.071723923E-1
1.764823750E-1,-7.561568171E-2,6.033475697E-2,-1.210477948E-1
1.865453750E-1,-1.380700022E-1,1.887664944E-1,-6.406946480E-2
1.966093750E-1,-3.526086211E-1,4.336695746E-2,1.957939565E-2
2.066723750E-1,-5.677643418E-1,-8.664536476E-2,7.367511839E-2
2.167353751E-1,-6.223980784E-1,-3.600251302E-2,9.883674979E-2
2.268016250E-1,-5.475975871E-1,-1.105907932E-2,9.249443561E-2
2.368656250E-1,-4.648140371E-1,-2.285529375E-1,7.690374739E-3
2.469286250E-1,-4.210101068E-1,-6.826213598E-1,-1.171168014E-1
2.569916250E-1,-3.568412364E-1,-1.181532025E0,-2.100937963E-1
2.670556250E-1,-1.838604063E-1,-1.516837835E0,-2.573233545E-1
2.771186250E-1,9.309155494E-2,-1.699323416E0,-3.149030507E-1
2.871816250E-1,3.591410816E-1,-1.787464499E0,-4.078178108E-1
2.972446250E-1,5.041589737E-1,-1.726774216E0,-4.922631383E-1
3.073086250E-1,4.887981415E-1,-1.500110149E0,-5.085166693E-1
