"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-9.466250194E-4,2.195634155E0,-9.025032349E0,-1.187031555E0
9.117375012E-3,2.361189880E0,-8.079598389E0,-7.183561707E-1
1.918037498E-2,2.270029449E0,-7.290589142E0,-5.578898621E-1
2.924437501E-2,2.088457031E0,-7.217091980E0,-6.020480347E-1
3.930837498E-2,2.233954468E0,-7.755671997E0,-6.866221619E-1
4.937137500E-2,2.576442261E0,-8.643475800E0,-5.542973328E-1
5.943537498E-2,3.123255157E0,-9.960437164E0,-6.131250000E-1
6.949837500E-2,3.430715790E0,-1.110884903E1,-7.321275330E-1
7.956237503E-2,3.548071747E0,-1.177481415E1,-8.205935669E-1
8.962637500E-2,3.765419769E0,-1.241233841E1,-6.662644958E-1
9.968937503E-2,3.811972961E0,-1.296498917E1,-3.135978699E-1
1.097533750E-1,3.431314545E0,-1.272683441E1,2.583627319E-1
1.198163750E-1,3.075803833E0,-1.236129456E1,7.352709961E-1
1.298803750E-1,2.475851440E0,-1.163006516E1,8.792715454E-1
1.399443750E-1,1.818717957E0,-1.080587906E1,9.852511597E-1
1.500073750E-1,1.034199371E0,-1.055036041E1,1.005908203E0
1.600713750E-1,2.809657288E-1,-1.034289185E1,8.779243469E-1
1.701343750E-1,-4.210743713E-1,-9.607620850E0,9.047186279E-1
1.801983750E-1,-1.094374237E0,-9.065148926E0,6.749464417E-1
1.902613750E-1,-1.701062622E0,-8.630901947E0,2.216889954E-1
2.003253750E-1,-2.327659607E0,-8.183182983E0,-9.250762939E-2
2.103893750E-1,-2.987188110E0,-8.023764496E0,-4.034111023E-1
2.204523750E-1,-3.198847961E0,-8.185278625E0,-6.303392029E-1
2.305163750E-1,-2.601889343E0,-8.744365997E0,-5.137316895E-1
2.405793750E-1,-2.234852600E-1,-9.062304840E0,1.318757629E-1
2.506433750E-1,1.321002960E0,-9.355095978E0,6.447093201E-1
2.607073750E-1,1.732197876E0,-1.008333160E1,9.681866455E-1
2.707703750E-1,1.495090942E0,-1.080138840E1,1.130748596E0
2.808343750E-1,4.305047607E-1,-1.120524857E1,1.264270935E0
2.908973750E-1,-5.206173706E-1,-1.117126923E1,1.280137939E0
3.009613750E-1,-5.152285767E-1,-1.108130630E1,1.243613892E0
3.110253750E-1,-3.381468201E-1,-1.120405106E1,1.199904785E0
3.210883750E-1,-1.429527283E-1,-1.141765686E1,1.130598907E0
3.311523750E-1,1.011895752E-1,-1.148561554E1,8.982820129E-1
3.412153750E-1,3.553610229E-1,-1.059826080E1,5.658233643E-1
3.512793750E-1,6.363267517E-1,-9.525890808E0,4.613406372E-1
3.613433750E-1,2.731819153E-1,-8.738677826E0,5.375321960E-1
3.714063750E-1,-5.851332092E-1,-8.116870880E0,5.697152710E-1
3.814703750E-1,-1.492396545E0,-7.598498840E0,6.979985046E-1
3.915333750E-1,-1.717229004E0,-7.592660980E0,8.939410400E-1
4.015973750E-1,-8.623567200E-1,-8.199948120E0,1.074765015E0
4.116603750E-1,-4.326004028E-1,-8.835975494E0,6.258485413E-1
4.217243750E-1,-5.758525085E-1,-9.206604767E0,-5.486091614E-1
