"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.827375021E-3,8.665908575E-1,-1.320717812E0,1.384336352E-1
1.289137499E-2,7.498298883E-1,-1.338567853E0,-7.912478596E-2
2.295437502E-2,6.382424235E-1,-1.244807601E0,-3.549368382E-1
3.301837499E-2,5.834479332E-1,-1.117796659E0,-5.886095166E-1
4.308237502E-2,5.701932907E-1,-1.043773651E0,-7.067381144E-1
5.314537499E-2,5.989676714E-1,-1.028985143E0,-7.209937572E-1
6.320937502E-2,6.747525334E-1,-1.062341094E0,-7.362322807E-1
7.327237498E-2,7.646421790E-1,-1.064030409E0,-8.158967495E-1
8.333637501E-2,8.013515472E-1,-1.000006080E0,-8.481582403E-1
9.340037499E-2,7.871614099E-1,-9.771434069E-1,-6.744306087E-1
1.034633750E-1,7.414821386E-1,-1.109836221E0,-4.221777916E-1
1.135273750E-1,6.516201496E-1,-1.302692771E0,-9.426064789E-2
1.235903750E-1,5.492149591E-1,-1.445367932E0,1.962340474E-1
1.336543750E-1,4.415159523E-1,-1.584416866E0,3.591135144E-1
1.437183750E-1,3.742765784E-1,-1.668003440E0,5.386450291E-1
1.537813750E-1,3.129940629E-1,-1.578056216E0,8.049302697E-1
1.638453750E-1,2.027366757E-1,-1.441008091E0,9.679832458E-1
1.739083750E-1,6.619826704E-2,-1.173224926E0,9.989433289E-1
1.839723750E-1,-4.752562940E-2,-7.046734095E-1,9.619687796E-1
1.940353750E-1,-1.361347437E-1,-2.453390658E-1,8.480913043E-1
2.040993750E-1,-1.905441433E-1,1.463363320E-1,6.929526329E-1
2.141633750E-1,-1.856932044E-1,4.855220914E-1,4.836023450E-1
2.242263750E-1,-1.395042241E-1,7.652524710E-1,2.662076354E-1
2.342903750E-1,-1.238850504E-1,8.735659122E-1,2.679898143E-1
2.443533750E-1,-1.201478392E-1,8.779617548E-1,3.587580621E-1
2.544173750E-1,-1.065617502E-1,8.383713365E-1,4.160045683E-1
2.644813750E-1,-7.524438202E-2,8.021033406E-1,4.486982226E-1
2.745443750E-1,-5.311164260E-2,6.998952627E-1,4.790598452E-1
2.846083750E-1,-5.858345330E-2,6.532996297E-1,5.778303146E-1
2.946713750E-1,-9.621817619E-2,6.358585954E-1,8.134180903E-1
3.047353750E-1,-1.681507528E-1,6.533180475E-1,1.122891545E0
3.147993750E-1,-2.602449656E-1,6.609070301E-1,1.448480248E0
3.248623750E-1,-3.325069249E-1,6.756640077E-1,1.731126547E0
3.349263750E-1,-3.592482507E-1,7.397643924E-1,1.838129520E0
3.449893750E-1,-3.465019763E-1,7.351565957E-1,1.810880065E0
3.550533750E-1,-2.967277765E-1,6.526257992E-1,1.665601611E0
3.651173750E-1,-2.537034154E-1,4.922141731E-1,1.382266879E0
3.751803750E-1,-2.742697001E-1,1.591075957E-1,1.029602885E0
3.852443750E-1,-3.846614361E-1,-1.289152540E-2,7.414724827E-1
