"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.713333186E-4,-7.345225525E0,-2.495505569E1,-3.425476685E0
9.785666713E-3,-8.648714905E0,-2.342508728E1,-2.406096497E0
1.974266674E-2,-3.523373108E0,-2.498693939E1,-3.662882996E0
2.969966666E-2,4.218677216E0,-2.615855301E1,-5.455106049E0
3.965766670E-2,8.807834015E0,-2.528901123E1,-4.529281311E0
4.961466673E-2,8.028404846E0,-2.416380112E1,-2.323468323E0
5.957166664E-2,3.924987946E0,-2.251632706E1,-1.550625458E0
6.952866667E-2,-4.689747620E-1,-2.052217392E1,-1.721120911E0
7.948566671E-2,-3.059188385E0,-1.853819962E1,-1.820663910E0
8.944266674E-2,-4.469106445E0,-1.679163162E1,-1.491049347E0
9.940066666E-2,-4.309538269E0,-1.478670090E1,-9.050180054E-1
1.093576667E-1,-2.990181885E0,-1.270483017E1,3.023712158E-2
1.193146667E-1,-1.344653778E0,-1.068762497E1,5.513035583E-1
1.292716666E-1,-7.155120850E-2,-8.502918091E0,7.914042664E-1
1.392286667E-1,1.827699280E-1,-6.688391418E0,1.249601440E0
1.491866667E-1,1.893562317E-1,-5.312452698E0,1.649420013E0
1.591436667E-1,4.185296631E-1,-3.917653198E0,1.411265259E0
1.691006667E-1,4.701722717E-1,-2.420915680E0,7.917036438E-1
1.790576667E-1,6.650669861E-1,-1.185834045E0,1.686991882E-1
1.890146667E-1,9.735754395E-1,-3.278182983E-2,-3.671864319E-1
1.989716667E-1,1.332079926E0,8.623567200E-1,-7.032376099E-1
2.089296667E-1,1.743873596E0,1.464255066E0,-6.973997498E-1
2.188866667E-1,2.025887146E0,2.180066528E0,-5.014572144E-1
2.288436667E-1,2.050885162E0,2.473905487E0,-1.710942078E-1
2.388006666E-1,1.448986816E0,1.961970062E0,-2.758763123E-1
2.487576667E-1,7.448510742E-1,1.051712952E0,-1.121467896E0
2.587146667E-1,4.688250732E-1,6.914122009E-1,-2.005978546E0
2.686726667E-1,2.215393066E-1,6.093827820E-1,-2.790497131E0
2.786296667E-1,-3.709286499E-1,2.556683350E-1,-3.163970490E0
2.885866667E-1,-1.012494507E0,-2.142045593E-1,-2.415526886E0
2.985436667E-1,-1.301992493E0,-7.179071045E-1,-6.858737183E-1
3.085006666E-1,-1.306333466E0,-1.748513947E0,1.120569763E0
3.184586667E-1,-1.402733002E0,-3.173999634E0,1.783840485E0
3.284156667E-1,-1.433868256E0,-5.224286041E0,8.418493652E-1
3.383726667E-1,-1.187480621E0,-8.296048279E0,-4.700225830E-1
3.483296667E-1,-1.016835480E0,-1.174038574E1,-1.258283386E0
3.582866667E-1,-8.987310791E-1,-1.565025513E1,-2.369273071E0
3.682436667E-1,-1.499880981E-1,-1.915282150E1,-2.859204254E0
3.782016666E-1,9.692344666E-1,-2.039703415E1,-8.072712708E-1
3.881586667E-1,2.980302429E-1,-2.033910461E1,1.523232422E0
3.981156667E-1,-1.631457367E0,-1.853834930E1,2.619552612E0
4.080726667E-1,-2.542313232E0,-1.693832657E1,3.362757111E0
4.180296666E-1,-2.455044708E0,-1.678190186E1,3.488046570E0
4.279866667E-1,-1.093925171E0,-1.776056671E1,1.619482269E0
4.379446667E-1,1.641636200E0,-1.954455688E1,-4.802014160E-1
4.479016667E-1,2.943179626E0,-2.133019363E1,-1.221010895E0
4.578586667E-1,2.719245300E0,-2.294623306E1,-1.187779999E0
4.678156667E-1,2.209405518E0,-2.324815521E1,-5.771997070E-1
4.777726667E-1,1.628014526E0,-2.159933395E1,-1.716929626E-1
4.877306666E-1,1.343755646E0,-1.930385742E1,2.594105530E-1
4.976876667E-1,1.105750580E0,-1.752316040E1,5.484594727E-1
5.076446667E-1,6.915618896E-1,-1.602627319E1,4.381388855E-1
5.176016667E-1,1.678010559E-1,-1.472308319E1,-5.089416504E-3
5.275586667E-1,-1.722917175E-1,-1.342004288E1,-2.389031982E-1
5.375166667E-1,-3.252735901E-1,-1.197270264E1,1.908531189E-1
5.474736667E-1,-4.243675232E-1,-1.055859329E1,7.729925537E-1
5.574306666E-1,-5.363346863E-1,-9.321715393E0,7.475454712E-1
5.673876667E-1,-3.013233948E-1,-8.103099518E0,5.993536377E-1
5.773446667E-1,2.321672058E-1,-6.941664734E0,6.056405640E-1
5.873016667E-1,8.605604553E-1,-5.771548004E0,2.926414490E-1
5.972596667E-1,1.313518524E0,-4.518803101E0,-9.505233765E-2
6.072166667E-1,1.309027863E0,-3.070265350E0,-2.050735474E-1
6.171736667E-1,1.261576538E0,-1.486109619E0,-3.230282593E-1
6.271306667E-1,1.455573120E0,1.085243225E-1,-1.006656647E0
6.370876667E-1,2.016756134E0,1.577120361E0,-1.932032318E0
6.470456667E-1,2.448757782E0,2.601440277E0,-1.575174408E0
6.570026667E-1,2.907703400E0,2.792742462E0,4.224215698E-1
6.669596666E-1,3.149899750E0,2.204465790E0,2.253713379E0
6.769166667E-1,2.387235718E0,9.380992126E-1,1.398841095E0
6.868736667E-1,1.544787598E-1,-4.480183411E-1,-1.191821594E0
6.968305417E-1,-1.695673828E0,-1.042581940E0,-3.198099518E0
7.067885416E-1,-2.444117432E0,-1.399140472E0,-3.833528137E0
7.167455417E-1,-2.395917664E0,-1.737436981E0,-2.673889618E0
7.267025417E-1,-1.451980591E0,-2.311343536E0,-9.630972290E-1
7.366595417E-1,-2.049238586E-1,-3.000809784E0,4.867877197E-1
7.466165416E-1,3.909869385E-1,-3.917353821E0,1.256786499E0
7.565745417E-1,9.779164124E-1,-5.069657593E0,1.185384979E0
7.665315417E-1,1.788181458E0,-6.609505463E0,1.123264160E0
7.764885417E-1,1.802102509E0,-9.048683167E0,1.304986267E0
7.864455417E-1,1.532513123E0,-1.226609253E1,1.013542328E0
7.964025417E-1,1.373693390E0,-1.625260254E1,4.200265503E-1
8.063595417E-1,8.083190918E-1,-2.093770981E1,-5.486091614E-1
8.163175416E-1,-6.988966370E-1,-2.376503036E1,-1.907633057E0
8.262745417E-1,-2.879711609E0,-2.128184418E1,-2.709814911E0
