"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.050666678E-3,-8.398251981E-2,9.288486093E-2,-1.885555834E-1
1.600866672E-2,-7.953687757E-2,-7.667103410E-1,2.238570154E-1
2.596566675E-2,-1.381269544E-1,-8.779433966E-1,1.905938685E-1
3.592266666E-2,-1.771670729E-1,-7.847982645E-1,-1.740763187E-1
4.587966669E-2,-1.931963712E-1,-7.115591764E-1,-3.930051923E-1
5.583666672E-2,-1.479298323E-1,-6.008327603E-1,-3.264272809E-1
6.579366664E-2,-5.787716806E-2,-5.579862595E-1,-1.525423229E-1
7.575166668E-2,1.910835877E-2,-6.874275804E-1,6.831105053E-2
8.570866671E-2,3.199033439E-2,-8.779509068E-1,3.288451731E-1
9.566566674E-2,-3.592331894E-3,-1.118863225E0,5.134761333E-1
1.056226667E-1,9.713619947E-3,-1.116384625E0,6.112370491E-1
1.155796667E-1,7.797484845E-2,-8.886588216E-1,6.239197850E-1
1.255376667E-1,1.678695977E-1,-5.364568233E-1,5.873790979E-1
1.354946666E-1,2.328211218E-1,-2.687638402E-1,5.718376637E-1
1.454516667E-1,3.035650551E-1,-2.275806963E-1,5.412949324E-1
1.554086667E-1,3.632704318E-1,-2.962512970E-1,4.878026545E-1
1.653656667E-1,4.109713733E-1,-3.151322901E-1,4.352334738E-1
1.753226666E-1,4.006728232E-1,-2.465867698E-1,3.858055770E-1
1.852806667E-1,3.674363196E-1,-1.064821333E-1,3.364675939E-1
1.952376667E-1,3.190203309E-1,3.276799619E-2,2.644683421E-1
2.051946666E-1,2.674229145E-1,7.101072371E-2,1.623651534E-1
2.151516667E-1,1.973757893E-1,1.183719635E-1,3.074944019E-2
2.251086667E-1,2.063306719E-1,1.638377160E-1,-1.162666380E-1
2.350666667E-1,2.300216258E-1,1.943304688E-1,-2.364621460E-1
2.450236666E-1,1.954950690E-1,1.451269686E-1,-3.487170637E-1
2.549806667E-1,1.105084270E-1,1.080426574E-1,-4.527010322E-1
2.649376667E-1,-4.558024555E-2,1.822364628E-1,-5.499759316E-1
2.748946667E-1,-2.490968257E-1,3.271576464E-1,-6.395816207E-1
2.848516667E-1,-4.245421588E-1,4.353954196E-1,-6.837717295E-1
2.948096667E-1,-5.004280806E-1,4.299244583E-1,-6.617521644E-1
3.047666667E-1,-3.842633963E-1,2.952931523E-1,-6.098117232E-1
3.147236666E-1,-1.831791550E-1,9.889215976E-2,-5.197910666E-1
3.246806667E-1,-1.399826705E-1,-1.535384804E-1,-4.373955131E-1
3.346376667E-1,-1.203226298E-1,-5.161107183E-1,-3.401094973E-1
3.445956667E-1,-8.936630189E-2,-7.438826561E-1,-2.360523492E-1
3.545526667E-1,-2.547621727E-1,-6.704915166E-1,-9.155070037E-2
3.645096667E-1,-6.796823144E-1,-5.525323749E-1,-3.902011365E-2
3.744666667E-1,-9.006910324E-1,-6.268988848E-1,-1.351722777E-1
3.844236666E-1,-6.675422192E-1,-3.546682000E-1,-2.280316502E-1
3.943806667E-1,-3.629864454E-1,2.309373617E-1,-1.824480295E-1
4.043386667E-1,-8.651011437E-2,5.672834516E-1,3.465339541E-2
4.142956667E-1,3.580370843E-1,5.291535854E-1,3.062302172E-1
4.242526666E-1,5.285017490E-1,5.138268471E-1,4.618173838E-1
4.342096667E-1,4.750461578E-1,4.874533117E-1,4.355403781E-1
4.441666667E-1,3.396398723E-1,5.498484969E-1,3.702942431E-1
4.541246666E-1,1.886952221E-1,5.795623064E-1,3.489610851E-1
4.640816667E-1,7.490793616E-2,4.397966862E-1,3.743841648E-1
4.740386667E-1,-3.859669343E-2,1.960400790E-1,4.124783278E-1
4.839956667E-1,-8.794986457E-2,4.759442434E-2,4.347237051E-1
4.939526666E-1,-7.047036290E-2,6.681207567E-2,4.607430398E-1
5.039096667E-1,-4.123497382E-2,1.753119230E-1,4.813974500E-1
5.138676667E-1,-4.353302717E-2,3.027427793E-1,4.842834473E-1
5.238246667E-1,-5.055578053E-2,4.315527081E-1,4.765411019E-1
5.337816667E-1,-2.947163209E-2,5.498930216E-1,4.596323371E-1
5.437386667E-1,-7.288565394E-3,5.890068412E-1,4.383531511E-1
5.536956667E-1,1.439729705E-2,5.811188817E-1,4.126334488E-1
5.636536666E-1,6.420293450E-2,5.848627090E-1,3.864367306E-1
5.736106667E-1,1.081135795E-1,6.108164191E-1,3.630229831E-1
5.835676667E-1,1.245841607E-1,6.170154810E-1,3.226350844E-1
5.935246667E-1,1.387501359E-1,5.342072845E-1,2.786048055E-1
6.034816667E-1,1.356369108E-1,4.296662509E-1,2.458964139E-1
6.134386667E-1,1.174292341E-1,3.769518435E-1,1.766908020E-1
6.233966667E-1,4.135923833E-2,3.742351532E-1,5.732180178E-2
6.333536666E-1,-9.502799809E-2,3.018984497E-1,-1.151779070E-1
6.433106667E-1,-1.741329283E-1,2.204299420E-1,-2.582343817E-1
6.532676667E-1,-4.190669954E-2,2.346569598E-1,-4.094681740E-1
6.632246667E-1,2.220956683E-1,3.728081882E-1,-5.542205572E-1
6.731816666E-1,3.436179757E-1,6.021888256E-1,-6.337655783E-1
6.831396667E-1,2.721648216E-1,5.539978743E-1,-5.560833216E-1
6.930965417E-1,5.964906514E-2,1.008040980E-1,-4.005679488E-1
7.030535417E-1,-2.240793109E-1,-4.385866821E-1,-2.230038047E-1
7.130105417E-1,-4.259517193E-1,-7.640217543E-1,-7.165875286E-2
7.229675417E-1,-4.989790618E-1,-8.978546262E-1,6.793707609E-3
7.329255417E-1,-4.659320414E-1,-8.625262380E-1,2.560438216E-2
7.428825417E-1,-3.996494114E-1,-7.047006488E-1,1.531179808E-2
7.528395416E-1,-3.435511589E-1,-5.658162236E-1,-5.396337807E-2
7.627965417E-1,-2.123832852E-1,-4.626378715E-1,-2.001903653E-1
7.727535417E-1,-6.288523972E-2,-3.275758922E-1,-3.572848141E-1
7.827105417E-1,6.724826247E-2,-2.204260081E-1,-5.271084905E-1
7.926685417E-1,2.333157957E-1,-1.363790035E-1,-7.419602275E-1
8.026255417E-1,4.227786958E-1,-7.417314500E-2,-9.347760081E-1
8.125825417E-1,4.262342751E-1,5.532513186E-2,-9.412275553E-1
8.225395416E-1,1.898257285E-1,7.758836448E-2,-7.203175426E-1
8.324965417E-1,7.142439485E-2,1.226753518E-1,-5.081079006E-1
8.424545417E-1,6.649035215E-2,2.057172358E-1,-1.820341647E-1
8.524115417E-1,8.388851583E-2,2.242989093E-1,2.702210844E-2
8.623685417E-1,-3.482868429E-3,2.708483040E-1,5.832703412E-2
8.723255417E-1,-8.697044849E-2,6.646167487E-2,3.671711683E-2
8.822825417E-1,-7.424213737E-2,-1.077218428E-1,2.387641929E-2
8.922395417E-1,-1.488642767E-3,-9.897473454E-2,7.302781194E-2
9.021975417E-1,3.801003098E-2,-1.057775095E-1,1.860550344E-1
9.121545417E-1,5.982417241E-2,-1.584456861E-1,2.987900376E-1
9.221115417E-1,1.181127802E-1,-1.056117564E-1,3.883244395E-1
9.320685416E-1,1.833779514E-1,-3.872896079E-3,4.467372000E-1
9.420255417E-1,2.279723138E-1,1.368931960E-2,4.448710978E-1
9.519835417E-1,2.794104815E-1,-1.029995084E-2,4.046400189E-1
9.619405417E-1,3.702522218E-1,-5.267457291E-2,3.555113375E-1
9.718975417E-1,4.381512403E-1,-9.922066331E-2,3.373034000E-1
9.818545417E-1,4.569864571E-1,-1.238216087E-1,3.328135908E-1
9.918115417E-1,4.940727949E-1,-1.545496285E-1,3.493227959E-1
1.001768542E0,5.415378213E-1,-1.743446290E-1,4.002570808E-1
1.011726542E0,5.476507545E-1,-2.124410123E-1,4.551628828E-1
1.021683542E0,4.810006022E-1,-2.503969371E-1,4.925470054E-1
