"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.579162490E-2,-7.102580109E0,3.442840576E-2,7.284451904E0
2.574962494E-2,-6.977440338E0,2.589614868E-1,6.761738892E0
3.570562496E-2,-6.916367340E0,4.507127380E-1,6.268813934E0
4.566362500E-2,-6.840924225E0,5.331912231E-1,5.995033264E0
5.562062492E-2,-6.833589478E0,5.376818848E-1,6.017935638E0
6.557762495E-2,-6.772217102E0,6.170169067E-1,6.370003510E0
7.553462498E-2,-6.760391693E0,6.776408386E-1,6.838828583E0
8.549162489E-2,-6.728507996E0,6.177653503E-1,7.005282440E0
9.544862492E-2,-6.785988464E0,5.581892395E-1,6.837930450E0
1.054056250E-1,-7.003635864E0,5.671705627E-1,6.597380676E0
1.153626250E-1,-7.300019531E0,6.360273743E-1,6.340814209E0
1.253196249E-1,-7.558981018E0,7.578739929E-1,6.066883850E0
1.352766249E-1,-7.762108612E0,7.819738770E-1,5.861361237E0
1.452336250E-1,-7.824977875E0,7.015910339E-1,5.896987152E0
1.551906250E-1,-7.816744995E0,6.188131714E-1,6.342909851E0
1.651476249E-1,-7.736811218E0,5.800437927E-1,6.841073914E0
1.751046249E-1,-7.637118530E0,6.637197876E-1,7.234455872E0
1.850616250E-1,-7.632777557E0,7.533833313E-1,7.559879150E0
1.950186250E-1,-7.799381104E0,8.388555908E-1,7.821235657E0
2.049756249E-1,-8.118517456E0,9.026229858E-1,7.897876282E0
2.149326249E-1,-8.583600311E0,9.177415466E-1,8.015381927E0
2.248896250E-1,-9.159602509E0,1.045725403E0,8.257578278E0
2.348466249E-1,-9.684261475E0,1.192270660E0,8.493338013E0
2.448036249E-1,-1.007704468E1,1.307680664E0,8.672515411E0
2.547606250E-1,-1.035396881E1,1.371747437E0,8.800050201E0
2.647173749E-1,-1.058987823E1,1.355131989E0,8.901988220E0
2.746743750E-1,-1.075169174E1,1.187929688E0,9.002279663E0
2.846313750E-1,-1.054093002E1,9.134005737E-1,9.092242584E0
2.945883749E-1,-1.018077896E1,6.225553894E-1,9.172625427E0
3.045453749E-1,-9.972412262E0,4.827461243E-1,9.266929321E0
3.145023750E-1,-9.864486694E0,6.068380737E-1,9.365424500E0
3.244593750E-1,-9.784253540E0,8.581654358E-1,9.216334534E0
3.344163749E-1,-9.715546417E0,9.834548950E-1,8.780291290E0
3.443733749E-1,-9.652826843E0,8.901988220E-1,8.355474701E0
3.543303750E-1,-9.506880341E0,7.598199463E-1,8.106692047E0
3.642873749E-1,-9.385931854E0,6.982978821E-1,7.990533600E0
3.742443749E-1,-9.215885468E0,6.340814209E-1,7.939938812E0
3.842013750E-1,-8.992400208E0,5.348377991E-1,7.914940796E0
3.941583750E-1,-8.718469849E0,3.802093506E-1,7.807164917E0
4.041153749E-1,-8.383466492E0,2.603086853E-1,7.563321991E0
4.140723749E-1,-8.108488312E0,1.480421448E-1,7.276518402E0
4.240293750E-1,-7.886799316E0,-4.116439819E-2,7.003935242E0
4.339863750E-1,-7.690258026E0,-2.650987244E-1,6.821764069E0
4.439433749E-1,-7.532935181E0,-4.941224670E-1,6.836732941E0
4.539003749E-1,-7.396718445E0,-7.339237976E-1,7.020700378E0
4.638573750E-1,-7.213649139E0,-9.460327148E-1,7.087611237E0
4.738143750E-1,-6.963519287E0,-1.063688049E0,6.999743958E0
4.837713749E-1,-6.735992432E0,-1.066232758E0,6.692283325E0
4.937283749E-1,-6.637946320E0,-1.106798401E0,6.194867706E0
5.036853750E-1,-6.561754761E0,-1.339564362E0,5.767656097E0
5.136423749E-1,-6.368806000E0,-1.571881256E0,5.494474182E0
5.235993749E-1,-6.017486572E0,-1.704954529E0,5.272336121E0
5.335563750E-1,-5.612728271E0,-1.723366241E0,5.033881989E0
5.435133750E-1,-5.180127869E0,-1.652862854E0,4.712051239E0
5.534703749E-1,-4.813989258E0,-1.624571686E0,4.313879242E0
5.634273749E-1,-4.536765747E0,-1.759740601E0,3.931723938E0
5.733843750E-1,-4.305945740E0,-1.968855743E0,3.733236694E0
5.833413750E-1,-4.029021606E0,-2.073488159E0,3.692970428E0
5.932983749E-1,-3.667523346E0,-2.047592010E0,3.689377899E0
6.032553749E-1,-3.322640533E0,-1.809736633E0,3.597918091E0
6.132133750E-1,-3.179538116E0,-1.300345917E0,3.366349640E0
6.231693750E-1,-3.097508698E0,-5.035528564E-1,3.053051147E0
6.331273749E-1,-2.934497681E0,3.597019958E-1,2.811004486E0
6.430843750E-1,-2.718945923E0,1.054557037E0,2.678080902E0
6.530413750E-1,-2.547103271E0,1.473086700E0,2.668201447E0
6.629983749E-1,-2.477348328E0,1.557511139E0,2.758164368E0
6.729553749E-1,-2.540816345E0,1.071172485E0,3.000809784E0
6.829123750E-1,-2.808609467E0,3.064128113E-1,3.291355591E0
6.928693750E-1,-3.141666870E0,-2.272274780E-1,3.466641083E0
7.028263749E-1,-3.387306061E0,-5.864804077E-1,3.550317078E0
7.127833749E-1,-3.532803497E0,-8.219407654E-1,3.526516571E0
7.227403750E-1,-3.593726807E0,-9.701325989E-1,3.502117310E0
7.326973750E-1,-3.612437897E0,-1.045276337E0,3.425776062E0
7.426543749E-1,-3.657194824E0,-9.744735718E-1,3.324885864E0
7.526113749E-1,-3.761378174E0,-7.696994019E-1,3.249442749E0
7.625683750E-1,-3.802542572E0,-5.803431702E-1,3.329376526E0
7.725253749E-1,-3.737278290E0,-5.539979553E-1,3.408711548E0
7.824823749E-1,-3.688629456E0,-7.629634094E-1,3.463497620E0
7.924393750E-1,-3.742068329E0,-1.104253693E0,3.606899414E0
8.023963750E-1,-3.867058411E0,-1.388811951E0,3.880979462E0
8.123533749E-1,-4.038302307E0,-1.498982849E0,4.297413483E0
8.223103749E-1,-4.154161377E0,-1.453327789E0,4.743785248E0
8.322673750E-1,-4.316723328E0,-1.459614716E0,5.129084015E0
8.422243750E-1,-4.614154816E0,-1.536255341E0,5.494324493E0
8.521813749E-1,-5.129832458E0,-1.683399353E0,5.902675323E0
8.621383749E-1,-5.908812561E0,-1.717229004E0,6.355034637E0
8.720953750E-1,-6.777156830E0,-1.460063782E0,6.792574768E0
8.820523749E-1,-7.592211914E0,-9.211843872E-1,7.025191040E0
8.920093749E-1,-8.127199402E0,-2.438429260E-1,6.886429596E0
9.019663749E-1,-8.632847900E0,3.769161987E-1,6.702462158E0
9.119233750E-1,-9.285041656E0,7.123686218E-1,6.671177216E0
9.218803749E-1,-9.698930969E0,6.477030945E-1,6.525979156E0
9.318373749E-1,-1.018003052E1,2.636018372E-1,6.842720490E0
9.417943750E-1,-1.116782639E1,-1.754351807E-1,7.872429199E0
9.517513750E-1,-1.092413315E1,-4.578977966E-1,8.419691162E0
9.617083749E-1,-1.022763153E1,-6.882687378E-1,8.246800690E0
9.716653749E-1,-9.885293427E0,-7.238946533E-1,8.643625488E0
9.816223750E-1,-9.438921661E0,-4.703219604E-1,8.922495575E0
9.915793750E-1,-9.290879517E0,-8.427474976E-2,8.952882385E0
1.001536375E0,-9.302555237E0,3.685336304E-1,9.002579041E0
1.011493375E0,-9.375902710E0,7.942483521E-1,9.163943481E0
1.021450375E0,-9.391170959E0,1.079405365E0,9.210346985E0
