"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.201462490E-2,1.039440930E-2,4.878456146E-2,-1.274955273E-1
3.197162494E-2,-2.524979413E-2,3.524157032E-2,-1.255376786E-1
4.192862497E-2,-6.811789423E-2,-1.468284335E-2,-1.036648676E-1
5.188562500E-2,-1.092323065E-1,-7.711106539E-2,-6.940356642E-2
6.184262491E-2,-1.296089590E-1,-1.507536024E-1,-3.781022131E-2
7.179962494E-2,-1.146867275E-1,-2.083753496E-1,-2.817223780E-2
8.175662498E-2,-7.800514996E-2,-2.315040976E-1,-3.434304893E-2
9.171362489E-2,-4.092418775E-2,-1.932675242E-1,-5.071426928E-2
1.016706249E-1,-1.924925297E-2,-1.343916804E-1,-5.633833632E-2
1.116276250E-1,-6.843747571E-3,-8.534700423E-2,-6.006342918E-2
1.215846250E-1,-1.575122215E-2,-6.489552557E-2,-4.679502547E-2
1.315416249E-1,-5.259684101E-2,-4.515426978E-2,-3.102292307E-2
1.414986249E-1,-1.163089722E-1,-4.049932957E-2,-1.864721440E-2
1.514556250E-1,-1.619793028E-1,-6.190834567E-2,-1.622499339E-2
1.614126250E-1,-1.849828959E-1,-8.662834018E-2,-2.894824557E-2
1.713696249E-1,-1.878812462E-1,-1.133548766E-1,-6.143533438E-2
1.813266249E-1,-1.710857451E-1,-1.415905058E-1,-9.899069369E-2
1.912836250E-1,-1.457712948E-1,-1.481363922E-1,-1.378837228E-1
2.012406250E-1,-1.449321210E-1,-1.236957684E-1,-1.750657111E-1
2.111976249E-1,-1.645965725E-1,-9.241673350E-2,-2.006417960E-1
2.211546249E-1,-1.838552207E-1,-6.451000273E-2,-2.141631991E-1
2.311116250E-1,-2.096841186E-1,-6.537277251E-2,-2.194095552E-1
2.410686249E-1,-2.477942109E-1,-5.251130462E-2,-2.185195237E-1
2.510256249E-1,-2.854035795E-1,-5.671969056E-2,-2.387408018E-1
2.609826250E-1,-3.321071863E-1,-6.908448040E-2,-2.767190635E-1
2.709393749E-1,-3.720226288E-1,-1.177832335E-1,-2.742546499E-1
2.808963750E-1,-4.097500145E-1,-1.165816113E-1,-2.729465067E-1
2.908533750E-1,-4.336588681E-1,-9.586375207E-2,-2.892950177E-1
3.008103749E-1,-4.394672215E-1,-9.199924022E-2,-3.129920959E-1
3.107673749E-1,-4.205993712E-1,-8.189896494E-2,-3.345950544E-1
3.207243750E-1,-3.983515799E-1,-7.129798830E-2,-3.496680260E-1
3.306823750E-1,-3.989613056E-1,-4.514106363E-2,-3.632680774E-1
3.406393749E-1,-4.272419512E-1,2.666938584E-3,-3.773111999E-1
3.505963749E-1,-4.612754285E-1,5.189025402E-2,-3.928575814E-1
3.605533750E-1,-4.905238450E-1,1.059968993E-1,-4.124368727E-1
3.705103749E-1,-5.169627666E-1,1.530260742E-1,-4.419234693E-1
3.804673749E-1,-5.294244885E-1,1.686950624E-1,-4.772028923E-1
3.904243750E-1,-5.305657983E-1,1.657629013E-1,-5.144668818E-1
4.003813750E-1,-5.310222507E-1,1.832803786E-1,-5.494515300E-1
4.103383749E-1,-5.425449610E-1,2.201233208E-1,-5.754708052E-1
4.202953749E-1,-5.705307722E-1,2.581050396E-1,-6.036151052E-1
4.302523750E-1,-6.041220427E-1,2.625868618E-1,-6.290974021E-1
4.402093750E-1,-6.394062638E-1,2.439785600E-1,-6.581024528E-1
4.501663749E-1,-6.441292167E-1,1.938987970E-1,-6.788347960E-1
4.601233749E-1,-6.361679435E-1,1.293048859E-1,-6.941215992E-1
4.700803750E-1,-6.228097081E-1,8.852780610E-2,-6.947906613E-1
4.800373749E-1,-6.128252745E-1,8.917549253E-2,-6.845102906E-1
4.899943749E-1,-6.136377454E-1,7.717483491E-2,-6.621944904E-1
4.999513749E-1,-6.264880300E-1,3.858084232E-2,-6.293657422E-1
5.099083750E-1,-6.137177944E-1,-2.974350750E-2,-5.961016417E-1
5.198653749E-1,-5.906212926E-1,-8.072067052E-2,-5.629455447E-1
5.298223749E-1,-5.628934503E-1,-8.258783072E-2,-5.325334072E-1
5.397793750E-1,-5.345020294E-1,-3.554762155E-2,-5.053460002E-1
5.497363750E-1,-5.062683225E-1,1.157232467E-2,-4.745855033E-1
5.596933749E-1,-4.749745727E-1,3.728647530E-2,-4.461051226E-1
5.696503749E-1,-4.452790320E-1,6.031687558E-2,-4.239786267E-1
5.796073750E-1,-4.107578099E-1,8.156330884E-2,-4.163422883E-1
5.895643750E-1,-3.783113360E-1,6.779452413E-2,-4.039101303E-1
5.995213749E-1,-3.315166533E-1,7.080044597E-3,-3.806801736E-1
6.094783749E-1,-2.842623889E-1,-5.667783692E-2,-3.410716355E-1
6.194353750E-1,-2.436515838E-1,-1.367090195E-1,-2.778958678E-1
6.293923749E-1,-2.214252055E-1,-1.938178390E-1,-2.056345642E-1
6.393493749E-1,-1.921157837E-1,-2.200054973E-1,-1.308940202E-1
6.493063750E-1,-1.645974815E-1,-1.851384938E-1,-7.635876536E-2
6.592633750E-1,-1.387315392E-1,-7.587164640E-2,-3.318573162E-2
6.692203749E-1,-9.311568737E-2,1.124400832E-2,6.441270001E-3
6.791773749E-1,-1.154226717E-2,3.394532576E-2,4.049830511E-2
6.891343750E-1,8.434763551E-2,-2.833349630E-3,8.510395885E-2
6.990913750E-1,1.670598239E-1,-2.217056230E-2,1.370888650E-1
7.090483749E-1,2.318389714E-1,-2.518909983E-2,2.049207985E-1
7.190053749E-1,3.011426628E-1,-1.846808009E-4,2.689296007E-1
7.289623750E-1,3.733426034E-1,2.938656881E-2,3.300071359E-1
7.389193750E-1,4.232715368E-1,5.223276466E-2,3.933088779E-1
7.488763749E-1,4.564154446E-1,5.631541461E-2,4.661263227E-1
7.588333749E-1,4.841698706E-1,6.192137301E-2,5.468509793E-1
7.687903750E-1,5.111325979E-1,3.653020784E-2,6.146223545E-1
7.787473749E-1,5.257751942E-1,-6.094750017E-3,6.546323895E-1
7.887043749E-1,5.093952417E-1,-3.536983207E-2,6.723958254E-1
7.986613750E-1,4.887037873E-1,-5.230567232E-2,6.800575256E-1
