"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.607082715E-4,1.167137924E1,-6.517596588E0,-1.054586975E1
1.021770830E-2,1.005099884E1,-6.807843018E0,-1.049587372E1
2.017470833E-2,7.267088013E0,-6.046376495E0,-1.019365219E1
3.013170836E-2,6.358028412E0,-4.617747345E0,-9.694440308E0
4.008870828E-2,6.763235779E0,-3.248993683E0,-1.020622604E1
5.004570831E-2,7.866890717E0,-2.611170044E0,-9.847122803E0
6.000270834E-2,9.760752411E0,-2.898123322E0,-9.485774231E0
6.995970826E-2,1.065514252E1,-2.814746704E0,-1.122874969E1
7.991670829E-2,1.006252487E1,-3.546874237E0,-1.160162430E1
8.987470833E-2,1.161240189E1,-5.794151001E0,-1.184606598E1
9.983170836E-2,1.114312775E1,-5.981710968E0,-1.143067978E1
1.097887083E-1,1.060664337E1,-5.929768982E0,-1.098849930E1
1.197457083E-1,1.085258194E1,-6.531517639E0,-1.136885834E1
1.297027083E-1,9.557026062E0,-3.799548798E0,-1.122635468E1
1.396597084E-1,9.795779572E0,-3.083587646E0,-1.058957886E1
1.496167083E-1,1.000624191E1,-3.447630615E0,-1.029663803E1
1.595737083E-1,1.084210373E1,-3.655398560E0,-1.050739975E1
1.695307083E-1,1.134805161E1,-4.512366486E0,-1.108834167E1
1.794887083E-1,1.096903976E1,-5.254373474E0,-1.165656006E1
1.894457083E-1,1.060828995E1,-5.622008972E0,-1.167946243E1
1.994027083E-1,1.028660889E1,-5.478008423E0,-1.142603943E1
2.093597084E-1,9.948462067E0,-4.943919067E0,-1.107486969E1
2.193167083E-1,9.329050140E0,-4.410578156E0,-1.073178314E1
2.292737083E-1,8.749305725E0,-4.076472931E0,-1.039707916E1
2.392307083E-1,8.859476624E0,-3.309617615E0,-1.000489471E1
2.491877084E-1,8.632847900E0,-3.439846802E0,-1.046249313E1
2.591447083E-1,8.632249146E0,-3.769760742E0,-1.062625259E1
2.691027083E-1,8.644822998E0,-4.143683167E0,-1.007405090E1
2.790597084E-1,8.976832581E0,-4.181853790E0,-8.871152344E0
2.890167083E-1,8.846004639E0,-3.686084747E0,-8.214318237E0
2.989737083E-1,8.645721130E0,-3.322490845E0,-8.630452881E0
3.089307083E-1,8.287965088E0,-3.384461975E0,-8.822952576E0
3.188877084E-1,7.293283539E0,-3.513942719E0,-8.678053894E0
3.288447083E-1,7.023694153E0,-3.721560974E0,-8.339757385E0
3.388017083E-1,7.459587708E0,-3.984414368E0,-7.585775299E0
3.487587083E-1,6.758296051E0,-3.994144135E0,-6.670279083E0
3.587167083E-1,6.504723358E0,-3.909420319E0,-7.161258087E0
3.686737083E-1,7.404352570E0,-4.161645813E0,-7.380102997E0
3.786307083E-1,7.380252686E0,-4.641248474E0,-7.041806488E0
3.885877084E-1,7.055428162E0,-5.165757751E0,-7.187902679E0
3.985447083E-1,6.314918060E0,-5.530249786E0,-6.906188507E0
4.085017083E-1,5.158123627E0,-5.621559906E0,-6.203100586E0
4.184587083E-1,4.997058563E0,-5.666017456E0,-6.025719452E0
4.284157084E-1,5.448070679E0,-6.036796417E0,-5.596412201E0
