"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.482708268E-3,-1.369880795E0,-2.330307066E-1,-1.510032535E0
1.643970830E-2,-1.272909760E0,-2.353878766E-1,-1.354632497E0
2.639670833E-2,-1.151012301E0,-9.451007470E-3,-1.142346740E0
3.635370836E-2,-1.155085325E0,-7.651446760E-2,-8.857355118E-1
4.631170828E-2,-1.156784892E0,1.163558289E-1,-7.935945392E-1
5.626870831E-2,-1.173359871E0,2.296120673E-1,-7.094607353E-1
6.622570835E-2,-1.251342058E0,1.025445014E-1,-5.513862967E-1
7.618270826E-2,-1.213595033E0,8.545570076E-3,-4.154430926E-1
8.613970829E-2,-1.081598043E0,-1.674111187E-2,-4.569281340E-1
9.609670832E-2,-8.233444691E-1,-1.001164317E-1,-4.343075156E-1
1.060537084E-1,-5.968606472E-1,-9.727317840E-2,-3.950980306E-1
1.160107083E-1,-3.777075112E-1,-8.584342152E-2,-3.934399486E-1
1.259677083E-1,-2.326044887E-1,-1.306160092E-1,-1.360188127E-1
1.359257083E-1,-1.209131181E-1,-2.083066106E-2,-3.208469227E-2
1.458827084E-1,-2.422782965E-2,5.535927787E-2,6.852939725E-2
1.558397083E-1,7.895474881E-2,9.599032998E-2,1.246462017E-1
1.657967083E-1,2.293588370E-1,3.382973000E-2,1.966986954E-1
1.757537083E-1,3.744966090E-1,-9.459535033E-2,2.894009352E-1
1.857107083E-1,5.323193669E-1,-2.223497033E-1,4.002181590E-1
1.956677083E-1,6.950747371E-1,-3.166013658E-1,5.146131516E-1
2.056247083E-1,8.198660612E-1,-3.781411052E-1,6.301171184E-1
2.155817084E-1,9.044840336E-1,-4.504616261E-1,7.239310145E-1
2.255397083E-1,9.623751044E-1,-4.622664750E-1,8.491638303E-1
2.354967083E-1,1.004816771E0,-3.847034872E-1,9.239547253E-1
2.454537083E-1,1.075121164E0,-3.791294992E-1,9.878798723E-1
2.554107084E-1,1.159762859E0,-3.882771730E-1,1.040651202E0
2.653677083E-1,1.215941548E0,-4.066487551E-1,1.091459632E0
2.753247083E-1,1.312044144E0,-4.240783453E-1,1.153620481E0
2.852817083E-1,1.372457027E0,-4.213966429E-1,1.240404129E0
2.952387083E-1,1.386841655E0,-3.639349341E-1,1.281875134E0
3.051957083E-1,1.397125602E0,-2.662964761E-1,1.299629331E0
3.151537083E-1,1.405016541E0,-2.136598974E-1,1.331311107E0
3.251107084E-1,1.448489547E0,-5.684002861E-2,1.313296676E0
3.350677083E-1,1.541679382E0,1.780251786E-2,1.293092966E0
