"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.427193000E-3,2.422732860E-1,-9.329017639E0,-2.680559635E0
1.241646400E-2,-4.378865361E-1,-7.475177765E0,-9.505487680E-1
2.239521400E-2,5.563312769E-2,-4.691128731E0,1.344168067E0
3.238448500E-2,8.985049129E-1,-2.224128723E0,2.211566210E0
4.236974500E-2,1.909472466E0,-6.287141442E-1,1.258026481E0
5.235901600E-2,1.713261008E0,-1.256231815E-1,-8.374879509E-2
6.223880800E-2,2.853440940E-1,-7.770691514E-1,-2.943171859E-1
7.222813100E-2,-1.152144074E0,-3.105285645E0,2.901297510E-1
8.221740100E-2,-7.543373108E-1,-5.246861935E0,5.084748194E-2
9.205229700E-2,6.592226624E-1,-4.787439823E0,-1.410568953E0
1.020416200E-1,5.922235847E-1,-4.753940582E0,-4.040879250E0
1.120308910E-1,4.049852192E-1,-5.141577721E0,-6.297310829E0
1.218656830E-1,3.714857101E-1,-5.922834396E0,-8.108677864E0
1.318550060E-1,4.671986103E-1,-7.283154011E0,-9.656235695E0
1.418442760E-1,3.332005441E-1,-9.372088432E0,-9.061619759E0
1.516754740E-1,-4.618147612E-1,-1.203111267E1,-6.292525291E0
1.616647970E-1,-1.995015860E0,-1.495394516E1,-3.825525284E0
1.716540680E-1,-3.518645763E0,-1.675035667E1,-1.578066587E0
1.815138600E-1,-4.984847546E0,-1.564367580E1,7.645068169E-1
1.915031310E-1,-6.158527374E0,-1.286979675E1,1.679761529E0
2.014924010E-1,-6.273382664E0,-1.153280735E1,-2.608176768E-1
2.113024530E-1,-5.626722336E0,-1.241934776E1,-3.600001574E0
2.212917760E-1,-4.697110653E0,-1.388076401E1,-4.980062008E0
2.312810470E-1,-3.346362352E0,-1.439821243E1,-2.699702263E0
2.411190680E-1,-1.822732687E0,-1.407697582E1,-7.926225066E-1
2.511083910E-1,-9.122636318E-1,-1.490549088E1,-1.774876237E0
2.610976620E-1,-1.578066587E0,-1.798146439E1,-3.935595036E0
2.709354740E-1,-4.481756687E0,-2.288734818E1,-6.139384747E0
2.809247970E-1,-7.284350395E0,-2.861277580E1,-4.314259052E0
2.909140680E-1,-8.194819450E0,-3.134836960E1,-9.266205430E-1
3.007585990E-1,-6.489335060E0,-2.746302414E1,-1.055832982E0
3.107478700E-1,-3.039483070E0,-2.251885414E1,-3.020340443E0
3.207371410E-1,-5.982056633E-2,-2.043949127E1,-3.772883177E0
3.305764640E-1,1.646261930E0,-1.990290070E1,-4.299902439E0
3.405657350E-1,1.842473388E0,-1.923709679E1,-4.754538536E0
3.505550060E-1,6.783652306E-1,-1.749751472E1,-4.558327198E0
3.603876620E-1,-5.676971674E-1,-1.489113331E1,-4.127020836E0
