"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.192813100E-2,-1.081344724E0,-5.320838690E-1,2.260957062E-1
8.191740100E-2,-1.020626426E0,-5.501928329E-1,2.527265251E-1
9.175229700E-2,-6.477948427E-1,-6.354115009E-1,2.591179311E-1
1.017416200E-1,-1.332872808E-1,-6.183677912E-1,1.675078869E-1
1.117308910E-1,-3.328853287E-3,-4.873441160E-1,1.280942708E-1
1.215656830E-1,-2.110492885E-1,-4.255605936E-1,1.142462417E-1
1.315550060E-1,-4.901403487E-1,-2.934716940E-1,8.228924870E-2
1.415442760E-1,-6.914693713E-1,-1.177082509E-1,4.500609636E-2
1.513754740E-1,-7.521876693E-1,-2.636451721E-1,2.476666868E-2
1.613647970E-1,-7.671009302E-1,-9.603075981E-1,-7.190322969E-3
1.713540680E-1,-8.278192282E-1,-1.700644493E0,-6.684337556E-2
1.812138600E-1,-8.959941268E-1,-1.916886806E0,-1.275616586E-1
1.912031310E-1,-8.576457500E-1,-1.504641652E0,-1.030612960E-1
2.011924010E-1,-7.521876693E-1,-8.410014510E-1,6.844121963E-2
2.110024530E-1,-5.828156471E-1,-4.170387387E-1,3.006620109E-1
2.209917760E-1,-3.005288541E-1,-4.884093404E-1,4.135767221E-1
2.309810470E-1,6.910699606E-2,-7.898702621E-1,3.091838956E-1
2.408190680E-1,3.663070202E-1,-7.738918066E-1,1.091863867E-2
2.508083910E-1,5.111786723E-1,-4.053211510E-1,-3.683043122E-1
2.607976620E-1,7.508561015E-1,-1.944050342E-1,-6.963961124E-1
2.706354740E-1,1.136470437E0,-2.977326214E-1,-8.476591706E-1
2.806247970E-1,1.411300659E0,-4.543218911E-1,-7.155702710E-1
2.906140680E-1,1.490127802E0,-6.599118710E-1,-4.758928418E-1
3.004585990E-1,1.590259790E0,-7.653699517E-1,-3.374125659E-1
3.104478700E-1,1.825676203E0,-7.003906965E-1,-3.501953483E-1
3.204371410E-1,1.940854549E0,-4.820179343E-1,-4.545882046E-1
3.302764640E-1,1.896114826E0,-2.892107666E-1,-6.314168572E-1
3.402657350E-1,1.777740717E0,-1.858831644E-1,-8.721595407E-1
3.502550060E-1,1.596651196E0,-1.624480337E-1,-1.109706521E0
3.600876620E-1,1.327147245E0,-1.336867511E-1,-1.222621202E0
3.700769330E-1,1.002251148E0,-6.444659829E-2,-1.175750971E0
3.800662030E-1,7.487256527E-1,-1.155777797E-1,-1.059640527E0
3.898802140E-1,6.081148982E-1,-2.167749256E-1,-9.488562942E-1
3.998695370E-1,4.525908828E-1,-2.604494691E-1,-7.954627872E-1
4.098588080E-1,3.577851355E-1,-2.998631001E-1,-6.495258212E-1
4.197132350E-1,3.790898025E-1,-3.467333615E-1,-5.685681105E-1
4.297025060E-1,4.323514402E-1,-3.520595133E-1,-5.046541691E-1
4.396917760E-1,4.259600639E-1,-3.243634701E-1,-3.928046823E-1
4.495397970E-1,3.844159544E-1,-2.625799477E-1,-2.255630940E-1
4.595290680E-1,2.991973162E-1,-1.624480337E-1,-2.636451647E-2
4.695183390E-1,1.511299312E-1,-1.544587873E-2,1.738992929E-1
4.793273490E-1,-3.848154470E-2,1.017297506E-1,3.347494900E-1
4.893166720E-1,-2.089188248E-1,2.503297664E-2,4.573844373E-1
4.993059430E-1,-3.335510790E-1,-2.327534109E-1,5.394073725E-1
5.091371930E-1,-4.187697470E-1,-4.862788618E-1,5.766905546E-1
5.191264640E-1,-4.730966091E-1,-6.492595077E-1,5.884081125E-1
5.291157350E-1,-5.093145370E-1,-6.876079440E-1,5.830819011E-1
5.389597450E-1,-5.412715077E-1,-5.800193548E-1,5.649729371E-1
5.489390160E-1,-5.764242411E-1,-3.605813682E-1,5.415378213E-1
5.589182870E-1,-6.222292185E-1,-7.935985923E-2,5.266245604E-1
5.687960990E-1,-6.509905457E-1,1.741656065E-1,5.394073725E-1
5.787754220E-1,-6.371424794E-1,3.083849549E-1,5.862776041E-1
5.887546410E-1,-5.987941027E-1,3.382114768E-1,6.288869381E-1
5.985745890E-1,-5.465977192E-1,3.094501793E-1,6.342130899E-1
6.085538600E-1,-4.816184938E-1,2.157096863E-1,6.033213735E-1
6.185331310E-1,-3.814865649E-1,8.255556226E-2,5.447335243E-1
6.284277140E-1,-2.738980353E-1,-7.083799690E-2,4.722976983E-1
6.384069850E-1,-1.897446364E-1,-1.944050342E-1,3.848154247E-1
6.483862560E-1,-1.183740199E-1,-2.764279842E-1,2.804225981E-1
6.582204220E-1,-6.191666797E-2,-2.551233172E-1,1.941387206E-1
6.681996930E-1,-7.789516449E-2,-3.994623944E-2,1.472684592E-1
6.781790160E-1,-1.908098608E-1,2.412752807E-1,1.430075318E-1
6.880210470E-1,-3.814865649E-1,5.075835586E-1,1.462032348E-1
6.980003180E-1,-8.256887197E-1,4.042559266E-1,2.583190054E-2
7.079795890E-1,-1.358305216E0,-1.592523307E-1,-8.708280325E-2
7.178313080E-1,-1.209172606E0,-3.232982159E-1,2.942706347E-1
7.278105780E-1,-7.756227851E-1,-2.945369184E-1,9.452611804E-1
7.377898490E-1,-7.724270821E-1,-8.793498874E-1,1.030479789E0
7.476810990E-1,-1.030213475E0,-1.225550652E0,5.745600462E-1
7.576603700E-1,-1.252847195E0,-8.516538143E-1,1.185071766E-1
7.676396410E-1,-1.306108832E0,-6.684337258E-1,2.396774245E-3
7.774811510E-1,-1.103714585E0,-7.493914366E-1,2.292914093E-1
7.874604220E-1,-6.243597269E-1,-6.013240218E-1,7.684324980E-1
7.974396930E-1,-2.057231218E-1,-2.497971505E-1,1.027284145E0
8.072790160E-1,-1.268958896E-1,7.935985923E-2,4.722976983E-1
8.172582870E-1,5.951989442E-2,5.597799420E-1,-3.246297538E-1
8.272375580E-1,4.174381793E-1,9.635032415E-1,-7.347444892E-1
8.370874010E-1,8.339443207E-1,9.709599018E-1,-9.424648881E-1
8.470666720E-1,1.278146505E0,6.652380228E-1,-1.091597557E0
8.570459430E-1,1.593455434E0,2.945369184E-1,-1.137402534E0
8.669014640E-1,1.739392400E0,1.784265339E-1,-1.166163802E0
8.768807350E-1,1.786262631E0,2.540580630E-1,-1.250317216E0
8.868600060E-1,1.808632493E0,3.456681073E-1,-1.283339500E0
8.967346930E-1,1.771349311E0,4.276910722E-1,-1.173620462E0
9.067139640E-1,1.658434629E0,4.298215210E-1,-1.013835549E0
9.166932350E-1,1.431540012E0,3.946688473E-1,-8.455287218E-1
9.265649530E-1,1.162036061E0,2.167749256E-1,-7.208964229E-1
9.365442760E-1,8.946625590E-1,4.420717061E-2,-6.111774445E-1
9.465234950E-1,7.433995008E-1,-4.740286991E-2,-4.908061028E-1
9.563584430E-1,7.210295796E-1,-8.681648970E-2,-3.459344208E-1
9.663377140E-1,7.593780160E-1,-1.954702586E-1,-2.468677461E-1
9.763170370E-1,7.529866099E-1,-4.639089704E-1,-2.287587970E-1
9.861758390E-1,6.358109713E-1,-7.824136615E-1,-2.958684862E-1
9.961551100E-1,3.450023532E-1,-8.559147120E-1,-3.672390878E-1
1.006134381E0,-7.043853402E-2,-6.066502333E-1,-2.916075289E-1
1.015993808E0,-4.571181238E-1,-1.603175700E-1,-9.240896255E-2
1.025973078E0,-7.404701114E-1,2.029268891E-1,5.885412544E-2
1.035952349E0,-9.481905699E-1,1.848179251E-1,1.653774232E-1
1.045817558E0,-1.054713845E0,-6.870753318E-2,3.549889028E-1
1.055788651E0,-1.042996287E0,-2.412752807E-1,6.043865681E-1
