"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.061212000E-3,5.550750256E0,-4.864010334E0,7.323233604E0
1.407381600E-2,5.713462353E0,-4.782654285E0,7.308876991E0
2.406386800E-2,5.689534187E0,-4.662415028E0,7.399804115E0
3.402699300E-2,5.474180222E0,-4.624129772E0,7.466803074E0
4.401704500E-2,5.105087280E0,-4.729413986E0,7.505686283E0
5.388324300E-2,4.827519894E0,-4.657629490E0,7.606184959E0
6.387329500E-2,4.702494621E0,-4.451846600E0,7.615756035E0
7.386339900E-2,4.726422787E0,-4.217350006E0,7.534400463E0
8.370454500E-2,4.837090969E0,-4.068396568E0,7.505686283E0
9.369459700E-2,4.966303349E0,-4.116253376E0,7.567899704E0
1.036847010E-1,4.995017052E0,-4.380061626E0,7.682755470E0
1.135408990E-1,4.923232555E0,-4.801796913E0,7.677969456E0
1.235310030E-1,4.856233597E0,-5.333601475E0,7.572685242E0
1.335210560E-1,4.793421745E0,-5.553741455E0,7.615756035E0
1.433480350E-1,4.601995945E0,-5.395814896E0,7.510472298E0
1.533380870E-1,4.420141697E0,-5.108078003E0,7.433303356E0
1.633281910E-1,4.310071945E0,-4.830510616E0,7.520043373E0
1.731701180E-1,4.146761417E0,-4.652843475E0,7.630113125E0
1.831602220E-1,4.103690624E0,-4.571487427E0,7.687541008E0
1.931502740E-1,4.334000111E0,-4.748556614E0,7.706683636E0
2.029669930E-1,4.702494621E0,-5.026721954E0,7.625327587E0
2.129570450E-1,4.966303349E0,-5.170291424E0,7.577471256E0
2.229471490E-1,5.100301266E0,-5.122435093E0,7.428517818E0
2.327725140E-1,4.971088886E0,-5.065007210E0,7.318448067E0
2.427625660E-1,4.635495663E0,-4.931009293E0,7.409375191E0
2.527526700E-1,4.213760853E0,-4.777868748E0,7.520043373E0
2.626025140E-1,4.012763500E0,-4.676771641E0,7.539186001E0
2.725926180E-1,4.084548473E0,-4.676771641E0,7.558328629E0
2.825826700E-1,4.343571186E0,-4.816154003E0,7.563114166E0
2.924282950E-1,4.726422787E0,-4.902295589E0,7.495516777E0
3.024183990E-1,5.057230473E0,-4.830510616E0,7.423732281E0
3.124084510E-1,5.243870735E0,-4.657629490E0,7.342376232E0
3.222134510E-1,5.224728107E0,-4.475774765E0,7.227520943E0
3.322035030E-1,5.085944653E0,-4.461417675E0,7.117451191E0
3.421936080E-1,4.750350952E0,-4.652843475E0,7.002595425E0
3.520331390E-1,4.381856441E0,-4.998008251E0,7.060023308E0
