"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.356339900E-2,7.323476952E-3,6.764229387E-2,6.737598777E-2
8.340454500E-2,1.584534161E-2,6.977276504E-2,6.631075591E-2
9.339459700E-2,3.715000302E-2,6.018566713E-2,4.500609636E-2
1.033847010E-1,6.804175675E-2,5.805519968E-2,1.624480449E-2
1.132408990E-1,9.147688746E-2,5.805519968E-2,-5.059856921E-3
1.232310030E-1,1.010639817E-1,5.698996782E-2,-1.464695390E-2
1.332210560E-1,9.041165560E-2,4.846810177E-2,-1.571218669E-2
1.430480350E-1,6.910699606E-2,2.822867595E-2,-1.145125460E-2
1.530380870E-1,4.993279651E-2,9.054481052E-3,2.396774245E-3
1.630281910E-1,3.288906813E-2,-1.651111245E-2,1.624480449E-2
1.728701180E-1,2.010627277E-2,-3.781577200E-2,3.115806542E-2
1.828602220E-1,2.330197208E-2,-4.527240247E-2,5.033225939E-2
1.928502740E-1,3.608476743E-2,-3.781577200E-2,6.950645149E-2
2.026669930E-1,4.354140162E-2,-2.183727734E-2,7.376738638E-2
2.126570450E-1,3.715000302E-2,-1.118494663E-2,6.098458916E-2
2.226471490E-1,2.436720580E-2,-2.503297664E-2,3.754946589E-2
2.324725140E-1,8.388710208E-3,-3.568530455E-2,9.853405878E-3
2.424625660E-1,-7.589785382E-3,-4.846810177E-2,-1.145125460E-2
2.524526700E-1,-1.078548469E-2,-6.018566713E-2,-1.571218669E-2
2.623025140E-1,-5.459319334E-3,-5.912043154E-2,1.331541222E-3
2.722926180E-1,7.323476952E-3,-3.781577200E-2,2.476666868E-2
2.822826700E-1,1.691057347E-2,-1.651111245E-2,4.181039706E-2
2.921282950E-1,1.478010789E-2,-7.989247330E-3,5.672365800E-2
3.021183990E-1,7.323476952E-3,-2.663082443E-3,5.885412544E-2
3.121084510E-1,-1.331541280E-4,-4.793548491E-3,4.500609636E-2
3.219134510E-1,1.997311832E-3,-1.864157803E-2,1.624480449E-2
3.319035030E-1,1.371487509E-2,-3.675054014E-2,-1.997311972E-2
3.418936080E-1,2.223674022E-2,-5.379426852E-2,-5.725627393E-2
3.517331390E-1,2.117150649E-2,-5.805519968E-2,-7.430000603E-2
3.617231910E-1,5.193010904E-3,-6.018566713E-2,-6.045197323E-2
3.717132950E-1,-1.824211515E-2,-4.314193875E-2,-2.423405088E-2
3.815514200E-1,-4.167724028E-2,-6.924014539E-3,1.731003635E-2
3.915414720E-1,-5.872096866E-2,1.118494663E-2,4.074516147E-2
