"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.084744000E-3,4.289134443E-1,-9.879964828E0,-7.208378315E-1
1.302307800E-2,4.911268353E-1,-9.860821724E0,-8.356932998E-1
2.296141100E-2,5.778666735E-1,-1.004746246E1,-9.744769931E-1
3.290167100E-2,5.682953596E-1,-1.014855862E1,-9.218349457E-1
4.284000500E-2,4.815555513E-1,-1.009531879E1,-8.739784956E-1
5.277911900E-2,4.480560422E-1,-1.009053326E1,-7.686942816E-1
6.271745300E-2,4.911268353E-1,-9.966106415E0,-6.873382926E-1
7.261708800E-2,5.635097623E-1,-9.903892517E0,-7.016952634E-1
8.255542100E-2,6.209374666E-1,-9.975677490E0,-7.878368497E-1
9.249375500E-2,5.587241054E-1,-9.913464546E0,-6.825526357E-1
1.024279210E-1,5.150550604E-1,-9.961320877E0,-7.160521746E-1
1.123662030E-1,5.006981492E-1,-9.956535339E0,-7.399803996E-1
1.223045880E-1,4.480560422E-1,-9.913464546E0,-7.591229677E-1
1.322472440E-1,4.049852192E-1,-9.884750366E0,-8.165507317E-1
1.421855780E-1,3.954139352E-1,-9.923035622E0,-8.787640929E-1
1.521238590E-1,4.001995921E-1,-9.961320877E0,-9.074779749E-1
1.620802650E-1,3.619144261E-1,-9.975677490E0,-8.644071817E-1
1.720185980E-1,3.667000830E-1,-9.932606697E0,-8.356932998E-1
1.819569320E-1,3.762713671E-1,-9.923035622E0,-8.261220455E-1
1.918763070E-1,3.619144261E-1,-9.908679008E0,-8.309076428E-1
2.018146920E-1,3.332005441E-1,-9.951749802E0,-8.835497499E-1
2.117530260E-1,3.475574851E-1,-9.951749802E0,-8.835497499E-1
2.216865670E-1,4.049852192E-1,-9.932606697E0,-8.644071817E-1
2.316248480E-1,3.332005441E-1,-9.875179291E0,-8.213363886E-1
2.415631820E-1,4.193421602E-1,-9.879964828E0,-9.266205430E-1
2.515174530E-1,4.624129832E-1,-9.899106979E0,-9.170492887E-1
2.614557860E-1,5.006981492E-1,-9.956535339E0,-1.003190875E0
2.713941190E-1,5.294120312E-1,-9.956535339E0,-9.936196208E-1
2.813021920E-1,5.198407173E-1,-9.966106415E0,-9.744769931E-1
2.912404730E-1,4.671986103E-1,-9.999606133E0,-9.457631707E-1
3.011788070E-1,4.145565331E-1,-9.975677490E0,-9.122636318E-1
3.111378170E-1,3.858426511E-1,-9.946963310E0,-9.361918569E-1
3.210761510E-1,3.858426511E-1,-9.975677490E0,-9.792626500E-1
3.310144320E-1,4.097708762E-1,-1.001396275E1,-9.792626500E-1
3.409669840E-1,4.241278172E-1,-9.990034103E0,-1.007976532E0
3.509052650E-1,4.145565331E-1,-9.951749802E0,-9.888339639E-1
3.608436510E-1,4.193421602E-1,-9.932606697E0,-9.457631707E-1
3.707614110E-1,4.576273263E-1,-9.942177773E0,-9.170492887E-1
3.806997440E-1,4.767699242E-1,-9.951749802E0,-9.553344250E-1
3.906380780E-1,4.528416991E-1,-9.932606697E0,-9.074779749E-1
4.005909940E-1,3.954139352E-1,-9.856036186E0,-8.500502706E-1
4.105293280E-1,3.714857101E-1,-9.860821724E0,-7.926225066E-1
4.204676610E-1,4.097708762E-1,-9.961320877E0,-7.639086246E-1
4.303999010E-1,4.049852192E-1,-1.009531879E1,-7.878368497E-1
4.403382340E-1,2.518445849E-1,-1.016770172E1,-8.787640929E-1
4.502765670E-1,1.178465188E-1,-1.022991467E1,-1.161715388E0
4.602060460E-1,1.130608693E-1,-1.039262676E1,-1.554138303E0
4.701443280E-1,7.477571070E-2,-1.046919727E1,-1.707877159E0
4.800826610E-1,2.691925503E-2,-1.030648518E1,-1.841875196E0
4.900123480E-1,3.649054468E-2,-9.846465111E0,-1.937588096E0
4.999506820E-1,1.752742529E-1,-9.305088997E0,-2.047657967E0
5.098889630E-1,4.193421602E-1,-8.821140289E0,-2.651247501E0
5.198276090E-1,7.022934556E-1,-8.313263893E0,-3.303291559E0
5.297659940E-1,9.702895880E-1,-7.738388538E0,-3.135195971E0
5.397042760E-1,1.186241865E0,-7.182655334E0,-2.915056229E0
5.496556300E-1,1.521237016E0,-6.875775814E0,-2.828914642E0
5.595938070E-1,2.182852507E0,-6.746563435E0,-1.971087694E0
5.695319840E-1,2.762513638E0,-6.545566559E0,-9.601200819E-1
5.794817230E-1,2.724228621E0,-6.353542328E0,-6.107679605E-1
5.894199010E-1,2.321636200E0,-6.502495766E0,-8.213363886E-1
5.993580780E-1,2.091326952E0,-7.350152969E0,-1.286142230E0
6.092971920E-1,1.828116536E0,-8.553144455E0,-1.688734531E0
6.192353170E-1,7.884350419E-1,-9.745966911E0,-2.306680918E0
6.291734940E-1,-2.464607358E-1,-1.093878841E1,-2.757129908E0
6.391074530E-1,-1.012762189E0,-1.198804188E1,-3.561716557E0
6.490456300E-1,-1.822732687E0,-1.272084332E1,-3.806382656E0
6.589838070E-1,-2.900699139E0,-1.227099228E1,-3.686143398E0
6.689298480E-1,-3.120838881E0,-1.103928757E1,-3.633501291E0
6.788680260E-1,-2.785843849E0,-9.549157143E0,-3.317648649E0
6.888062030E-1,-2.373680115E0,-8.294121742E0,-3.341576815E0
6.987101610E-1,-1.784447432E0,-7.590033531E0,-3.485146284E0
7.086483900E-1,-7.016952634E-1,-7.518248558E0,-4.716253281E0
7.185865150E-1,4.480560422E-1,-8.121838570E0,-6.211169243E0
7.285369320E-1,6.640082598E-1,-8.538787842E0,-6.201598167E0
7.384750570E-1,3.954139352E-1,-8.711071014E0,-6.105885029E0
7.484132340E-1,3.427718580E-1,-8.801998138E0,-5.621936798E0
