"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.247911900E-2,5.193010904E-3,1.006645188E-1,5.672365800E-2
6.241745300E-2,1.584534161E-2,4.846810177E-2,5.565842614E-2
7.231708800E-2,3.821523488E-2,1.970681176E-2,5.991935730E-2
8.225542100E-2,4.354140162E-2,1.544587873E-2,5.139749497E-2
9.219375500E-2,3.395430371E-2,2.396774292E-2,3.648423031E-2
1.021279210E-1,3.821523488E-2,1.757634431E-2,2.583190054E-2
1.120662030E-1,4.673709720E-2,1.011971384E-2,1.304910425E-2
1.220045880E-1,5.206326395E-2,-6.924014539E-3,-7.989247679E-4
1.319472440E-1,5.525896326E-2,-2.396774292E-2,-8.255556226E-3
1.418855780E-1,5.419373140E-2,-3.355484083E-2,-1.677742042E-2
1.518238590E-1,5.738943070E-2,-4.420717061E-2,-2.636451647E-2
1.617802650E-1,6.271559745E-2,-5.379426852E-2,-3.062544949E-2
1.717185980E-1,7.017222792E-2,-7.296846062E-2,-3.062544949E-2
1.816569320E-1,7.336792350E-2,-8.255556226E-2,-3.169068322E-2
1.915763070E-1,7.230269164E-2,-8.149032295E-2,-3.488638252E-2
2.015146920E-1,7.230269164E-2,-7.509893179E-2,-3.808208182E-2
2.114530260E-1,6.697652489E-2,-6.444659829E-2,-4.234301299E-2
2.213865670E-1,6.271559745E-2,-6.551183015E-2,-4.660394415E-2
2.313248480E-1,8.615072072E-2,-4.953333735E-2,-5.938674137E-2
2.412631820E-1,7.230269164E-2,-9.853405505E-2,-4.234301299E-2
2.512174530E-1,5.312849581E-2,-1.091863886E-1,-4.234301299E-2
2.611557860E-1,5.312849581E-2,-1.017297506E-1,-4.553871229E-2
2.710941190E-1,4.460663348E-2,-1.049254537E-1,-4.766917601E-2
2.810021920E-1,3.608476743E-2,-1.123820841E-1,-5.193011090E-2
2.909404730E-1,2.756290510E-2,-1.209039465E-1,-5.193011090E-2
3.008788070E-1,2.010627277E-2,-1.304910481E-1,-4.979964346E-2
3.108378170E-1,1.051917579E-2,-1.315562725E-1,-4.553871229E-2
3.207761510E-1,9.320789250E-4,-1.177082509E-1,-3.914731368E-2
3.307144320E-1,-6.524552125E-3,-9.959928691E-2,-3.382114694E-2
3.406669840E-1,-1.291595027E-2,-9.746882319E-2,-2.956021577E-2
3.506052650E-1,-1.930734888E-2,-1.070559174E-1,-2.529928461E-2
3.605436510E-1,-2.676397935E-2,-1.166430190E-1,-2.529928461E-2
3.704614110E-1,-3.954677656E-2,-1.177082509E-1,-2.636451647E-2
3.803997440E-1,-6.085143611E-2,-1.166430190E-1,-2.742975019E-2
3.903380780E-1,-8.322133124E-2,-1.059906855E-1,-2.316881903E-2
4.002909940E-1,-1.077216864E-1,-9.746882319E-2,-1.464695390E-2
4.102293280E-1,-1.375482082E-1,-9.107742459E-2,-2.929390874E-3
4.201676610E-1,-1.812227666E-1,-9.107742459E-2,9.853405878E-3
4.300999010E-1,-2.419410497E-1,-1.049254537E-1,2.796236612E-2
4.400382340E-1,-3.367467821E-1,-1.390129030E-1,4.820179567E-2
4.499765670E-1,-4.699009061E-1,-1.645784974E-1,8.122401685E-2
4.599060460E-1,-6.403381824E-1,-1.240996495E-1,1.206376404E-1
4.698443280E-1,-8.320801258E-1,-3.462007269E-2,1.770949960E-1
4.797826610E-1,-1.019561172E0,5.059856921E-2,2.527265251E-1
4.897123480E-1,-1.199585557E0,1.251648813E-1,3.432713449E-1
4.996506820E-1,-1.383870840E0,1.954702586E-1,4.286231399E-1
5.095889630E-1,-1.601178408E0,3.105154335E-1,5.031894445E-1
5.195276090E-1,-1.904769778E0,5.342143774E-1,5.756253004E-1
5.294659940E-1,-2.219013453E0,8.015878797E-1,6.512568593E-1
5.394042760E-1,-2.425668716E0,9.507204890E-1,7.194317579E-1
5.493556300E-1,-2.559888124E0,9.485899806E-1,7.535192370E-1
5.592938070E-1,-2.635519743E0,9.059807062E-1,7.098446488E-1
5.692319840E-1,-2.524735451E0,8.015878797E-1,5.766905546E-1
5.791817230E-1,-2.237122536E0,4.958659708E-1,4.071853161E-1
5.891199010E-1,-1.905835032E0,2.290250920E-2,2.814878225E-1
5.990580780E-1,-1.617156863E0,-3.925383687E-1,2.154433727E-1
6.089971920E-1,-1.388131738E0,-6.694989800E-1,1.685731262E-1
6.189353170E-1,-1.217694521E0,-8.143706322E-1,1.376813650E-1
6.288734940E-1,-1.107975483E0,-8.015878797E-1,1.802906841E-1
6.388074530E-1,-1.060039997E0,-6.876079440E-1,2.750964165E-1
6.487456300E-1,-1.068561912E0,-5.661713481E-1,3.965329826E-1
6.586838070E-1,-1.069627166E0,-6.215634942E-1,5.394073725E-1
6.686298480E-1,-1.051518202E0,-7.312824726E-1,7.045184970E-1
6.785680260E-1,-1.046191931E0,-6.492595077E-1,8.014547229E-1
6.885062030E-1,-1.094127417E0,-3.573856652E-1,8.099765778E-1
6.984101610E-1,-1.195324659E0,3.355484083E-2,7.694976926E-1
7.083483900E-1,-1.281608462E0,3.744294047E-1,7.226274610E-1
7.182865150E-1,-1.349783421E0,6.609770656E-1,6.651048660E-1
7.282369320E-1,-1.411566854E0,7.600437403E-1,5.660381913E-1
7.381750570E-1,-1.410501719E0,5.928021669E-1,4.882761836E-1
7.481132340E-1,-1.338065863E0,4.159734845E-1,4.563191831E-1
7.580834420E-1,-1.250716686E0,3.275591433E-1,4.360797703E-1
7.680216190E-1,-1.223020673E0,2.583190203E-1,4.456668794E-1
7.779597960E-1,-1.234738231E0,2.082530558E-1,4.563191831E-1
7.878656820E-1,-1.241129637E0,1.858831644E-1,4.307536185E-1
7.978038070E-1,-1.265630007E0,1.677742004E-1,3.784240186E-1
8.077420360E-1,-1.298652172E0,5.858781748E-3,3.347494900E-1
8.177087550E-1,-1.257108092E0,-2.998631001E-1,3.155752718E-1
8.276469320E-1,-1.180411339E0,-5.501928329E-1,3.059881926E-1
8.375851090E-1,-1.117562652E0,-6.375419497E-1,2.697702646E-1
8.474999010E-1,-1.080279469E0,-6.982602477E-1,2.623136342E-1
8.574380780E-1,-1.085605621E0,-7.728265524E-1,2.964010835E-1
8.673762550E-1,-1.104779840E0,-7.685656548E-1,3.166405261E-1
8.773087550E-1,-1.118627787E0,-6.322157979E-1,3.326190114E-1
8.872469840E-1,-1.172954679E0,-4.053211510E-1,3.485974967E-1
8.971851610E-1,-1.226216316E0,-2.615146935E-1,3.454017937E-1
9.071333380E-1,-1.259238601E0,-2.221010923E-1,3.507279754E-1
9.170715150E-1,-1.280543208E0,-2.157096863E-1,3.848154247E-1
9.270096920E-1,-1.280543208E0,-1.507304758E-1,4.071853161E-1
9.369607860E-1,-1.269890904E0,-3.355484083E-2,4.039896131E-1
9.468989630E-1,-1.259238601E0,9.746882319E-2,3.709673882E-1
9.568371400E-1,-1.278412819E0,2.902759910E-1,2.964010835E-1
9.667596920E-1,-1.317826390E0,3.563204408E-1,2.623136342E-1
9.766978170E-1,-1.351913810E0,2.402100414E-1,2.367480397E-1
9.866359940E-1,-1.384936094E0,1.219691783E-1,1.696383655E-1
9.965530260E-1,-1.394523144E0,-1.331541315E-2,8.015878499E-2
1.006491255E0,-1.376414180E0,-1.720351279E-1,-3.062544949E-2
1.016429380E0,-1.395588398E0,-2.721670270E-1,-1.222354919E-1
1.026374953E0,-1.389196992E0,-3.414071798E-1,-1.328878254E-1
1.036313130E0,-1.430741072E0,-1.805569977E-1,-1.371487528E-1
1.046251359E0,-1.437132478E0,-1.699046642E-1,-7.536523789E-2
1.056186046E0,-1.446719646E0,-9.959928691E-2,3.222329915E-2
1.066124171E0,-1.459502339E0,2.503297664E-2,1.312899739E-1
1.076062296E0,-1.428610682E0,2.929390781E-2,1.898777932E-1
1.086016932E0,-1.393458009E0,-7.989247330E-3,2.186390758E-1
1.095955005E0,-1.419023514E0,1.438064594E-2,2.165086120E-1
1.105893130E0,-1.484002709E0,9.001219273E-2,1.760297567E-1
1.115844640E0,-1.487198472E0,3.728315700E-3,1.185071766E-1
1.125782765E0,-1.457371950E0,-1.544587873E-2,7.376738638E-2
1.135720838E0,-1.414762616E0,1.118494663E-2,4.500609636E-2
1.145633598E0,-1.397718906E0,3.994623944E-2,2.370143496E-2
1.155571723E0,-1.425414920E0,6.977276504E-2,-3.062544949E-2
1.165509848E0,-1.445654392E0,8.894696087E-2,-8.708280325E-2
1.175479588E0,-1.460567594E0,1.603175700E-1,-1.286268830E-1
1.185417661E0,-1.502111673E0,2.753627300E-1,-1.286268830E-1
1.195355786E0,-1.520220637E0,2.679060996E-1,-1.062569916E-1
1.205275369E0,-1.508503079E0,2.700365782E-1,-5.832150951E-2
1.215213442E0,-1.555373311E0,3.754946291E-1,-4.127778113E-2
1.225151567E0,-1.606504560E0,4.500609636E-1,-4.127778113E-2
1.235109380E0,-1.612895966E0,3.350157738E-1,-3.914731368E-2
1.245047505E0,-1.596917510E0,2.657756507E-1,-4.340824485E-2
