X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),Subject,Activity
-3.298091583,-8.242160339,-1.299148407,-0.2323513329,-0.387127161,-0.4687486291,1,Jumping
-3.428620148,-8.226742401,-1.342558136,-0.2362781614,-0.2753729224,-0.4511094391,1,Jumping
-3.196902008,-8.14381485,-1.588796082,-0.1933957934,-0.2895388901,-0.4449667037,1,Jumping
-2.365231476,-7.839946747,-1.751956787,-0.0707500428,-0.4663464129,-0.4128769338,1,Jumping
-1.199455719,-7.485334167,-2.040257263,0.1040597484,-0.6964913011,-0.3501985967,1,Jumping
-0.5113366699,-7.736212463,-2.260000305,0.2529115379,-0.9751562476,-0.2645739615,1,Jumping
-0.4318519592,-8.418044586,-2.144290924,0.374442488,-1.405398369,-0.1778981686,1,Jumping
-0.9198371887,-9.188193054,-1.837279358,0.4017169774,-1.763624668,-0.08073087782,1,Jumping
-1.285526733,-9.65911377,-1.655108185,0.3002738655,-1.861227512,0.1114238426,1,Jumping
-0.8833131409,-9.774823151,-1.512005768,0.1307103783,-1.796244621,0.3247867227,1,Jumping
-0.7945477295,-9.762997742,-1.438209229,-0.054806903,-1.590510845,0.4706310928,1,Jumping
-1.505718842,-9.763446808,-1.498234406,-0.2486671805,-1.379720092,0.5615468621,1,Jumping
-2.550995178,-9.630822601,-1.592987366,-0.4027104378,-1.338108897,0.572612524,1,Jumping
-3.627855835,-9.303603058,-1.863175507,-0.4908277988,-1.416134477,0.4886657,1,Jumping
-4.47913559,-8.908424835,-2.482288055,-0.510001421,-1.489448428,0.3283025324,1,Jumping
-4.946463776,-8.519084473,-3.167563019,-0.4751090109,-1.505482078,0.1428871453,1,Jumping
-5.089266815,-8.296048279,-3.69626358,-0.3900824189,-1.423084497,-0.06382615864,1,Jumping
-5.113666077,-8.20114563,-3.99818573,-0.2704324424,-1.244109392,-0.2614257634,1,Jumping
-4.932542725,-8.01747757,-3.913162537,-0.1267261058,-1.109733343,-0.423161447,1,Jumping
-4.699926453,-7.733518066,-3.339555359,0.0385723114,-1.118319631,-0.5069005489,1,Jumping
-4.364174652,-7.497758331,-2.383792877,0.1447818726,-1.231832266,-0.4984690249,1,Jumping
-4.046684875,-7.449259186,-1.409468994,0.2095648646,-1.466806412,-0.4641001225,1,Jumping
-3.837420044,-7.532336426,-0.7773335266,0.2466478944,-1.745239258,-0.4571158886,1,Jumping
-3.792513428,-7.725285187,-0.6765930176,0.2692455947,-1.987661719,-0.4885550439,1,Jumping
-3.670966187,-7.924221497,-0.9711804199,0.2714345753,-2.066133261,-0.5390467644,1,Jumping
-3.632196808,-8.152197418,-1.627266083,0.2900620699,-2.002465725,-0.5934284925,1,Jumping
-3.626957703,-8.518635406,-2.37990097,0.431204915,-2.007291794,-0.5576807261,1,Jumping
-3.441493378,-9.359736328,-2.782713318,0.5957602859,-1.838597298,-0.4827502668,1,Jumping
-4.056863708,-10.86560486,-2.758463745,0.6967983246,-1.490238547,-0.4357256889,1,Jumping
-5.082530823,-12.35126541,-2.221230927,0.6629421115,-1.077718616,-0.364890635,1,Jumping
-5.767955475,-13.29595093,-1.043480072,0.4869375825,-0.748718679,-0.2231990546,1,Jumping
-6.14412323,-13.38980576,0.6689588928,0.1988376081,-0.6301840544,-0.00474768132,1,Jumping
-5.979914703,-12.6195076,2.215542755,-0.06327258795,-0.8249529004,0.1862510443,1,Jumping
-5.634582825,-11.42289597,2.689457245,-0.201610744,-1.270598054,0.313516587,1,Jumping
-5.106780396,-10.29588959,2.131567383,-0.2325879186,-1.819207788,0.3803545237,1,Jumping
-4.171225891,-9.380093994,1.128503265,-0.1792405397,-2.306360006,0.3677409887,1,Jumping
-2.946772156,-8.624615021,-0.2444416809,0.008158167824,-2.552568436,0.2596406043,1,Jumping
-1.70480484,-8.09696228,-1.694027252,0.37373963,-2.344703674,0.05941588432,1,Jumping
-0.9054670715,-7.608378296,-1.641935577,0.7280557156,-1.858114123,-0.2665269673,1,Jumping
-0.9713301086,-7.041956177,1.467548218,0.9331468344,-1.519170403,-0.7073075771,1,Jumping
-1.233734436,-6.467899933,5.209466858,0.9454036355,-1.372337699,-1.133299947,1,Jumping
-0.8105644226,-6.181695099,6.477030945,0.6930659413,-1.274486661,-1.364017606,1,Jumping
-0.08666976929,-6.322402496,6.193969574,0.2903915048,-1.075674653,-1.439887166,1,Jumping
0.1309776306,-6.991660767,5.338199158,-0.1105567217,-0.7738970518,-1.563754797,1,Jumping
-0.3417393494,-8.407865753,3.946243744,-0.2569554746,-0.09185021371,-1.749707222,1,Jumping
-0.7009922791,-10.63732956,-0.9494755554,-0.01132948697,1.09784162,-1.858107686,1,Jumping
-0.6262976074,-13.57691666,-8.813522186,0.2068220526,1.688694954,-1.726471543,1,Jumping
-0.417481842,-15.10598694,-9.128317566,0.2234268636,1.340319872,-1.326224804,1,Jumping
0.07020401001,-14.71964035,-4.499642944,0.1855755597,0.5120107532,-0.7684967518,1,Jumping
0.5249583435,-13.15419571,-0.5604345703,0.1724459082,-0.3220897019,-0.257334888,1,Jumping
0.1706451416,-10.98805023,1.346150665,0.1509613991,-0.9274374247,-0.07159939408,1,Jumping
-1.110091553,-9.277108154,1.699865112,0.09845238924,-1.281429887,-0.08228638768,1,Jumping
-1.520538025,-8.412206726,1.084794159,-0.0005772225559,-1.353507876,-0.0874068737,1,Jumping
-1.096918945,-8.133486328,-0.2652484131,-0.1604092419,-1.214677572,-0.05049865693,1,Jumping
-0.6462062073,-8.42343338,-1.638941803,-0.3691487014,-0.9588760734,-0.04416586086,1,Jumping
-0.5463638306,-9.247020721,-2.26643692,-0.551443696,-0.70109725,-0.08550984412,1,Jumping
-0.5252577209,-10.09231293,-2.174977112,-0.6298483014,-0.549157083,-0.131459713,1,Jumping
-0.4049079895,-10.44363235,-1.872306519,-0.6318144798,-0.5427809358,-0.1680707335,1,Jumping
-0.3016227722,-10.45740372,-1.502874756,-0.5632974505,-0.6367447972,-0.2110307366,1,Jumping
-0.2341131592,-10.20053787,-1.384021912,-0.496517837,-0.6958046556,-0.2644543052,1,Jumping
-0.2612068176,-9.658964081,-1.390458527,-0.4919276536,-0.6398376822,-0.3122252524,1,Jumping
-0.3131488037,-8.914562073,-1.291364594,-0.5365446806,-0.5059515238,-0.3525311351,1,Jumping
-0.4628375244,-8.264164581,-0.8807684326,-0.6417882442,-0.3703445792,-0.3673742712,1,Jumping
-0.6658154297,-7.878716125,-0.45984375,-0.7911247015,-0.3110756874,-0.3468596935,1,Jumping
-0.8066725159,-7.983947296,-0.5272036743,-0.9522387385,-0.3771452308,-0.2948095798,1,Jumping
-0.7839198303,-8.412805481,-0.8168513489,-1.09878552,-0.5405206084,-0.2494495511,1,Jumping
-0.6201603699,-8.952583008,-0.9903405762,-1.192149162,-0.7118370533,-0.231321618,1,Jumping
-0.3697311401,-9.363777924,-1.108295288,-1.216782928,-0.7609335184,-0.2654742599,1,Jumping
-0.2562670898,-9.591304779,-0.9572593689,-1.216873884,-0.7390613556,-0.3237290978,1,Jumping
-0.375718689,-9.497300262,-0.08592132568,-1.211047411,-0.8037428856,-0.3431818783,1,Jumping
-0.5932164001,-8.9991362,0.9328601074,-1.282840371,-0.8875766993,-0.3305885792,1,Jumping
-0.8810678101,-8.588540039,1.063089294,-1.524405003,-0.8272036314,-0.3220531344,1,Jumping
-1.114133148,-8.546477509,0.3182382202,-1.926736832,-0.55365628,-0.3186847568,1,Jumping
-1.218615875,-8.875343628,-0.5680686951,-2.321118116,-0.1782104671,-0.3007020056,1,Jumping
-1.319955139,-9.317673798,-0.9449848938,-2.520336628,0.1287136823,-0.2343472838,1,Jumping
-1.66618515,-9.828262024,-1.167871399,-2.420405865,0.2151351273,-0.137925148,1,Jumping
