,X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),Subject,Activity
0,-5.115462341,-4.136797485,4.99511261,0.8353512883,0.3058750331,-0.9728780389,1,Pushups
1,-5.385051727,-3.862268372,5.147046661,0.8397881389,0.4251449704,-0.9032302499,1,Pushups
2,-6.157295837,-3.444636841,5.137017517,0.781373322,0.4322997928,-0.7857896686,1,Pushups
3,-7.370672607,-3.050057373,5.30287262,0.5897999406,0.1371418983,-0.6537775993,1,Pushups
4,-8.700058136,-2.728975067,5.60359726,0.1642091721,-1.140217662,-0.4347765446,1,Pushups
5,-9.723330231,-2.254611511,5.87737793,-0.01343990769,-2.206400633,-0.1635439843,1,Pushups
6,-10.64541275,-1.715432739,4.951104126,0.1898541003,-2.181768417,-0.04471200332,1,Pushups
7,-10.93625793,-2.147284698,2.756218414,0.416251272,-1.47401607,-0.06613420695,1,Pushups
8,-11.02068237,-3.421734467,1.83233963,0.3581655622,-0.8829469681,-0.1415919811,1,Pushups
9,-10.89659042,-4.845124512,3.03868103,0.04676216096,-0.6945488453,-0.2231680751,1,Pushups
10,-10.61936691,-5.889951782,5.313650208,-0.3011244535,-0.658634901,-0.2564605474,1,Pushups
11,-10.6129303,-6.225404205,6.291267242,-0.6022685766,-0.7727404237,-0.2367944568,1,Pushups
12,-10.7097789,-6.155050507,5.9335112,-0.8026216626,-1.042147756,-0.1517379582,1,Pushups
13,-10.79315552,-5.993985443,5.380112,-0.7671195865,-1.192069054,-0.06878448278,1,Pushups
14,-10.96933914,-5.415288849,4.278253326,-0.5052860975,-0.914684236,-0.06404355913,1,Pushups
15,-11.23294098,-4.39950119,2.84094223,-0.2169717401,-0.3797039688,-0.1071723923,1,Pushups
16,-11.03445374,-3.13702652,2.211950226,-0.07561568171,0.06033475697,-0.1210477948,1,Pushups
17,-10.30023056,-1.746717682,2.722388763,-0.1380700022,0.1887664944,-0.0640694648,1,Pushups
18,-9.256301422,-0.4614903259,3.732637939,-0.3526086211,0.04336695746,0.01957939565,1,Pushups
19,-8.207582245,0.4731660461,4.601131897,-0.5677643418,-0.08664536476,0.07367511839,1,Pushups
20,-7.284601593,0.9303153992,4.883744202,-0.6223980784,-0.03600251302,0.09883674979,1,Pushups
21,-6.448739777,0.9328601074,4.607269135,-0.5475975871,-0.01105907932,0.09249443561,1,Pushups
22,-5.817951508,0.5370831299,4.704566803,-0.4648140371,-0.2285529375,0.007690374739,1,Pushups
23,-5.619314575,-0.5956114197,5.748346252,-0.4210101068,-0.6826213598,-0.1171168014,1,Pushups
24,-5.649551697,-2.187550964,7.070097656,-0.3568412364,-1.181532025,-0.2100937963,1,Pushups
25,-5.467081146,-3.491938477,7.834557953,-0.1838604063,-1.516837835,-0.2573233545,1,Pushups
26,-5.173541565,-4.341122589,7.579638062,0.09309155494,-1.699323416,-0.3149030507,1,Pushups
27,-4.866679688,-4.840184784,6.645281067,0.3591410816,-1.787464499,-0.4078178108,1,Pushups
28,-4.44395874,-4.960384827,5.893095245,0.5041589737,-1.726774216,-0.4922631383,1,Pushups
29,-4.033212891,-4.745731201,5.412744141,0.4887981415,-1.500110149,-0.5085166693,1,Pushups
30,-3.762126617,-4.400249634,5.125491486,0.3345827162,-1.119690061,-0.4809283614,1,Pushups
31,-3.923191681,-4.327051849,4.995861053,0.09896408021,-0.6639091372,-0.4537441432,1,Pushups
32,-4.853357391,-4.663402405,5.107678528,-0.1340821981,-0.2359615117,-0.4463731945,1,Pushups
33,-6.12077179,-4.982089691,5.466332703,-0.3050464988,0.1490809768,-0.4591342509,1,Pushups
34,-7.368726654,-5.201533356,5.797893219,-0.4010282159,0.4972278774,-0.4411149621,1,Pushups
35,-8.49603241,-5.253774719,5.813760223,-0.4402571023,0.702236414,-0.4105594456,1,Pushups
36,-9.39341629,-5.084776154,5.670508118,-0.4171056449,0.6306751966,-0.3945864439,1,Pushups
37,-9.813742218,-4.550088043,5.746699677,-0.2987044454,0.3020240664,-0.3829575181,1,Pushups
