,X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),Subject,Activity
0,2.195634155,-9.025032349,-1.187031555,0.8665908575,-1.320717812,0.1384336352,1,Squads
1,2.36118988,-8.079598389,-0.7183561707,0.7498298883,-1.338567853,-0.07912478596,1,Squads
2,2.270029449,-7.290589142,-0.5578898621,0.6382424235,-1.244807601,-0.3549368382,1,Squads
3,2.088457031,-7.21709198,-0.6020480347,0.5834479332,-1.117796659,-0.5886095166,1,Squads
4,2.233954468,-7.755671997,-0.6866221619,0.5701932907,-1.043773651,-0.7067381144,1,Squads
5,2.576442261,-8.6434758,-0.5542973328,0.5989676714,-1.028985143,-0.7209937572,1,Squads
6,3.123255157,-9.960437164,-0.613125,0.6747525334,-1.062341094,-0.7362322807,1,Squads
7,3.43071579,-11.10884903,-0.732127533,0.764642179,-1.064030409,-0.8158967495,1,Squads
8,3.548071747,-11.77481415,-0.8205935669,0.8013515472,-1.00000608,-0.8481582403,1,Squads
9,3.765419769,-12.41233841,-0.6662644958,0.7871614099,-0.9771434069,-0.6744306087,1,Squads
10,3.811972961,-12.96498917,-0.3135978699,0.7414821386,-1.109836221,-0.4221777916,1,Squads
11,3.431314545,-12.72683441,0.2583627319,0.6516201496,-1.302692771,-0.09426064789,1,Squads
12,3.075803833,-12.36129456,0.7352709961,0.5492149591,-1.445367932,0.1962340474,1,Squads
13,2.47585144,-11.63006516,0.8792715454,0.4415159523,-1.584416866,0.3591135144,1,Squads
14,1.818717957,-10.80587906,0.9852511597,0.3742765784,-1.66800344,0.5386450291,1,Squads
15,1.034199371,-10.55036041,1.005908203,0.3129940629,-1.578056216,0.8049302697,1,Squads
16,0.2809657288,-10.34289185,0.8779243469,0.2027366757,-1.441008091,0.9679832458,1,Squads
17,-0.4210743713,-9.60762085,0.9047186279,0.06619826704,-1.173224926,0.9989433289,1,Squads
18,-1.094374237,-9.065148926,0.6749464417,-0.0475256294,-0.7046734095,0.9619687796,1,Squads
19,-1.701062622,-8.630901947,0.2216889954,-0.1361347437,-0.2453390658,0.8480913043,1,Squads
20,-2.327659607,-8.183182983,-0.09250762939,-0.1905441433,0.146336332,0.6929526329,1,Squads
21,-2.98718811,-8.023764496,-0.4034111023,-0.1856932044,0.4855220914,0.483602345,1,Squads
22,-3.198847961,-8.185278625,-0.6303392029,-0.1395042241,0.765252471,0.2662076354,1,Squads
23,-2.601889343,-8.744365997,-0.5137316895,-0.1238850504,0.8735659122,0.2679898143,1,Squads
24,-0.22348526,-9.06230484,0.1318757629,-0.1201478392,0.8779617548,0.3587580621,1,Squads
25,1.32100296,-9.355095978,0.6447093201,-0.1065617502,0.8383713365,0.4160045683,1,Squads
26,1.732197876,-10.0833316,0.9681866455,-0.07524438202,0.8021033406,0.4486982226,1,Squads
27,1.495090942,-10.8013884,1.130748596,-0.0531116426,0.6998952627,0.4790598452,1,Squads
28,0.4305047607,-11.20524857,1.264270935,-0.0585834533,0.6532996297,0.5778303146,1,Squads
29,-0.5206173706,-11.17126923,1.280137939,-0.09621817619,0.6358585954,0.8134180903,1,Squads
30,-0.5152285767,-11.0813063,1.243613892,-0.1681507528,0.6533180475,1.122891545,1,Squads
31,-0.3381468201,-11.20405106,1.199904785,-0.2602449656,0.6609070301,1.448480248,1,Squads
32,-0.1429527283,-11.41765686,1.130598907,-0.3325069249,0.6756640077,1.731126547,1,Squads
33,0.1011895752,-11.48561554,0.8982820129,-0.3592482507,0.7397643924,1.83812952,1,Squads
34,0.3553610229,-10.5982608,0.5658233643,-0.3465019763,0.7351565957,1.810880065,1,Squads
35,0.6363267517,-9.525890808,0.4613406372,-0.2967277765,0.6526257992,1.665601611,1,Squads
36,0.2731819153,-8.738677826,0.537532196,-0.2537034154,0.4922141731,1.382266879,1,Squads
37,-0.5851332092,-8.11687088,0.569715271,-0.2742697001,0.1591075957,1.029602885,1,Squads
38,-1.492396545,-7.59849884,0.6979985046,-0.3846614361,-0.0128915254,0.7414724827,1,Squads
39,-1.717229004,-7.59266098,0.89394104,-0.5585536361,0.05647769198,0.5484937429,1,Squads
40,-0.86235672,-8.19994812,1.074765015,-0.6816907525,0.3615744114,0.4025417864,1,Squads
41,-0.4326004028,-8.835975494,0.6258485413,-0.6803437471,0.8817443848,0.2845019698,1,Squads
42,-0.5758525085,-9.206604767,-0.5486091614,-0.6197583675,1.417103529,0.1576125175,1,Squads
43,-1.440155182,-9.635762329,-1.536704407,-0.6149838567,1.815720439,0.04656722024,1,Squads
44,-2.204166412,-10.02824615,-1.889520721,-0.7706437707,2.068404436,0.01732806489,1,Squads
45,-2.408641205,-10.41549088,-1.477427673,-0.9857310653,2.18078661,0.06906795502,1,Squads
46,-2.427052917,-10.78507233,-0.9713301086,-1.094385028,2.232352972,0.1681932509,1,Squads
47,-2.528092804,-10.9167984,-1.107846222,-1.063025475,2.380702496,0.1832105517,1,Squads
48,-3.175047455,-10.87952591,-1.504970398,-1.000668287,2.781308174,0.02379953116,1,Squads
49,-4.30474823,-10.85856949,-1.62053009,-0.8055738807,3.047861576,-0.2050650716,1,Squads
50,-5.271437988,-10.34334091,-1.528321838,-0.5247583985,2.926402807,-0.2998583913,1,Squads
51,-5.54267395,-9.610015869,-1.262025604,-0.1876336187,2.135965586,0.005685801618,1,Squads
52,-3.872746582,-8.37897583,-0.664019165,0.04327151924,0.9757041931,0.338098377,1,Squads
53,-3.258573761,-8.418044586,0.2128573608,0.1962022185,0.06462559104,0.5165627003,1,Squads
54,-2.55892868,-8.915759583,-0.02993774414,0.3035268784,-0.3211235106,0.596914053,1,Squads
55,-1.499431915,-9.483079834,-0.7692503357,0.3645862341,-0.3472800255,0.5795403719,1,Squads
56,-0.664019165,-9.781559143,-1.066232758,0.352401942,-0.1862063855,0.4645082653,1,Squads
57,-0.06316864014,-9.68830307,-0.9313632202,0.2670231164,0.0917788893,0.2989483178,1,Squads
58,0.26210495,-9.367220764,-0.7277865601,0.1729902178,0.3345604837,0.1550234854,1,Squads
59,0.2404000854,-8.990454254,-0.5056484985,0.1424685419,0.426525563,0.06171192601,1,Squads
60,-0.3694317627,-8.726253662,-0.4592449951,0.1700512618,0.3136542439,-0.006829728372,1,Squads
61,-1.533261566,-8.746910706,-0.6418652344,0.1998608261,-0.01150946412,-0.04017383605,1,Squads
62,-2.548151093,-8.921148376,-0.8587641907,0.2144549191,-0.4327100813,-0.04984299839,1,Squads
63,-3.26456131,-9.108558655,-1.209484863,0.2345466018,-0.7385104299,-0.05401643738,1,Squads
64,-3.679199066,-9.255103912,-1.811083832,0.2393040657,-0.7642292976,-0.07965097576,1,Squads
65,-3.829486542,-9.369017029,-2.423011322,0.2025084794,-0.4947884977,-0.1321038008,1,Squads
66,-3.922592926,-9.399104462,-2.792443085,0.08704423904,-0.1054267585,-0.19994542,1,Squads
67,-3.946992188,-9.360933838,-2.72747818,-0.09249383211,0.2566310465,-0.2577975094,1,Squads
68,-3.939058685,-9.261690216,-2.507585449,-0.2987817526,0.5010849237,-0.2683188617,1,Squads
69,-3.910168762,-9.198222198,-2.326761475,-0.5001174808,0.5449636579,-0.212940827,1,Squads
70,-3.789220276,-9.287137299,-2.118245087,-0.6665744781,0.3829465806,-0.1181195825,1,Squads
71,-3.652704163,-9.44850174,-2.024090881,-0.7760517001,0.1437502652,-0.008566464297,1,Squads
72,-3.523822174,-9.600884857,-2.274220734,-0.8462873101,-0.008252975531,0.0740204677,1,Squads
73,-3.375480652,-9.595945129,-2.740501099,-0.9241471887,-0.001864584628,0.09589567035,1,Squads
74,-3.246748352,-9.426048431,-2.973117371,-1.046945333,0.1248106062,0.08741957694,1,Squads
75,-3.077600098,-9.233848114,-2.807711334,-1.246242762,0.3085591197,0.06607726961,1,Squads
76,-2.903512115,-9.123976593,-2.428100739,-1.493113518,0.4595482349,0.03268760443,1,Squads
77,-2.612217865,-9.109606476,-1.887724457,-1.754410625,0.4866099358,-0.005283481441,1,Squads
78,-2.203118591,-9.143286438,-1.243015137,-1.99184072,0.3147367537,-0.06511352956,1,Squads
79,-1.729204102,-9.263336792,-0.6328839111,-2.20904088,-0.02673616074,-0.1387339681,1,Squads
80,-1.112187195,-9.378447418,-0.2550695801,-2.401986122,-0.4789286852,-0.2435274422,1,Squads
81,-0.5441184998,-9.475445709,-0.2275268555,-2.589524269,-0.9544643164,-0.3916034698,1,Squads
82,-0.04969665527,-9.599537659,-0.5918692017,-2.75948,-1.366530538,-0.5432912707,1,Squads
83,0.3661386108,-9.547445984,-1.264420624,-2.900755882,-1.68415904,-0.698595643,1,Squads
84,0.614172821,-9.309141541,-2.054178314,-3.002524376,-1.935986042,-0.8235749602,1,Squads
85,0.8523275757,-8.750503235,-2.906805267,-3.085090637,-2.117754459,-0.8800438046,1,Squads
86,1.189426575,-7.87227951,-3.925437012,-3.172622919,-2.192873001,-0.8993316889,1,Squads
87,1.448238373,-7.193590851,-5.278024292,-3.153753757,-1.977855325,-0.849367857,1,Squads
88,1.422491913,-6.66953064,-6.369255066,-2.929944992,-1.387817383,-0.6329907775,1,Squads
89,0.7972421265,-5.858517151,-6.2400737,-2.479410172,-0.8070013523,-0.2169773281,1,Squads
90,-0.7893086243,-4.96936615,-4.474495239,-2.183269262,-0.6846802831,0.3027729094,1,Squads
91,-3.314257965,-4.103716278,-1.734742584,-2.368021488,-0.7848317027,0.6759539247,1,Squads
92,-6.086942139,-3.359613647,-0.3866459656,-2.97104311,-0.5921572447,0.6753201485,1,Squads
93,-8.000113678,-2.960992584,-1.350042572,-3.369199276,-0.1249913871,0.2449013591,1,Squads
94,-8.561596069,-2.794239349,-4.473597107,-2.981671333,0.2404608428,-0.3012602627,1,Squads
95,-7.281158752,-2.575095062,-8.658294983,-1.970651865,0.9228433967,-0.716909647,1,Squads
96,-4.740791473,-3.038082275,-11.22081619,-1.328861237,1.319323301,-0.9798520803,1,Squads
97,-1.617835693,-4.692292328,-8.185578003,-1.459305167,1.344019413,-1.126283288,1,Squads
98,1.490151215,-6.937772827,-4.383783875,-1.788631678,1.41102314,-1.171420932,1,Squads
99,4.187541962,-8.94300293,-3.381468201,-1.904136181,1.085000277,-1.040591598,1,Squads
100,6.486012268,-10.34872971,-2.312690735,-2.012746334,0.2127972543,-0.7716486454,1,Squads
101,7.932753754,-10.81426163,-1.251397705,-2.306483984,-0.818140924,-0.4063518643,1,Squads
102,8.541687469,-9.608219604,-2.296524353,-2.328670263,-1.461613417,-0.02456821315,1,Squads
103,7.147935791,-7.100634155,-5.770200806,-2.182424068,-1.831002593,0.08928165585,1,Squads
104,2.561024323,-5.15887207,-8.084687805,-2.158182144,-2.256548166,0.2394484282,1,Squads
105,-1.271306305,-3.138822784,-7.423512726,-2.183042526,-2.129929543,0.5911760926,1,Squads
106,-3.851341095,-1.686991882,-7.904612274,-2.23676753,-1.584097028,0.9211315513,1,Squads
107,-5.745951233,-2.353106689,-8.492589569,-2.323272705,-0.9225074053,1.166897178,1,Squads
108,-6.543043671,-3.974983978,-8.961863708,-2.319400072,-0.567404449,1.283501983,1,Squads
109,-5.691763916,-5.722599792,-9.830207977,-2.19874692,-0.4787680805,1.284681439,1,Squads
110,-3.501668243,-7.126230927,-10.20877075,-2.104948282,-0.4097610116,1.170849204,1,Squads
111,-1.242117004,-7.94368103,-9.372609558,-2.050817013,-0.4065681398,1.024723411,1,Squads
112,0.01796264648,-7.689509583,-9.040749664,-1.989217281,-0.5160991549,0.9165069461,1,Squads
113,-0.1451980591,-6.571035461,-8.951984253,-1.924071789,-0.5773843527,0.8648805022,1,Squads
114,-0.9482780457,-5.699248352,-9.438472595,-1.850434542,-0.5348704457,0.8531816602,1,Squads
115,-1.860032043,-5.440137177,-9.976453857,-1.753659725,-0.5430133343,0.855982542,1,Squads
116,-2.658321991,-5.147346039,-10.46264282,-1.656641364,-0.4730244279,0.8598986268,1,Squads
117,-3.000360718,-4.894671478,-10.66277664,-1.534813643,-0.4556233287,0.8696279526,1,Squads
118,-3.09256897,-4.776716766,-9.975705414,-1.433313847,-0.38523224,0.8658106923,1,Squads
119,-3.095862122,-4.852758636,-10.44692551,-1.347580552,-0.3938289285,0.8279531002,1,Squads
120,-2.700234833,-5.127886505,-10.6367308,-1.299413085,-0.3679452538,0.7489956617,1,Squads
121,-2.166145477,-5.318140869,-10.13407608,-1.252253771,-0.3498485684,0.6350041032,1,Squads
122,-1.861528931,-5.349126434,-10.16461258,-1.211134791,-0.4407562613,0.5565338135,1,Squads
123,-1.941313019,-4.704566803,-10.29020142,-1.12911582,-0.5250831246,0.4983799756,1,Squads
124,-2.15057785,-3.933071136,-9.763297119,-1.037338376,-0.4890105128,0.4600833356,1,Squads
125,-2.506387939,-3.64596817,-9.917027435,-0.9212933183,-0.4959342182,0.4698030651,1,Squads
