X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),Subject,Activity
-7.345225525,-24.95505569,-3.425476685,-0.08398251981,0.09288486093,-0.1885555834,2,Jumping
-8.648714905,-23.42508728,-2.406096497,-0.07953687757,-0.766710341,0.2238570154,2,Jumping
-3.523373108,-24.98693939,-3.662882996,-0.1381269544,-0.8779433966,0.1905938685,2,Jumping
4.218677216,-26.15855301,-5.455106049,-0.1771670729,-0.7847982645,-0.1740763187,2,Jumping
8.807834015,-25.28901123,-4.529281311,-0.1931963712,-0.7115591764,-0.3930051923,2,Jumping
8.028404846,-24.16380112,-2.323468323,-0.1479298323,-0.6008327603,-0.3264272809,2,Jumping
3.924987946,-22.51632706,-1.550625458,-0.05787716806,-0.5579862595,-0.1525423229,2,Jumping
-0.468974762,-20.52217392,-1.721120911,0.01910835877,-0.6874275804,0.06831105053,2,Jumping
-3.059188385,-18.53819962,-1.82066391,0.03199033439,-0.8779509068,0.3288451731,2,Jumping
-4.469106445,-16.79163162,-1.491049347,-0.003592331894,-1.118863225,0.5134761333,2,Jumping
-4.309538269,-14.7867009,-0.9050180054,0.009713619947,-1.116384625,0.6112370491,2,Jumping
-2.990181885,-12.70483017,0.03023712158,0.07797484845,-0.8886588216,0.623919785,2,Jumping
-1.344653778,-10.68762497,0.5513035583,0.1678695977,-0.5364568233,0.5873790979,2,Jumping
-0.0715512085,-8.502918091,0.7914042664,0.2328211218,-0.2687638402,0.5718376637,2,Jumping
0.182769928,-6.688391418,1.24960144,0.3035650551,-0.2275806963,0.5412949324,2,Jumping
0.1893562317,-5.312452698,1.649420013,0.3632704318,-0.296251297,0.4878026545,2,Jumping
0.4185296631,-3.917653198,1.411265259,0.4109713733,-0.3151322901,0.4352334738,2,Jumping
0.4701722717,-2.42091568,0.7917036438,0.4006728232,-0.2465867698,0.385805577,2,Jumping
0.6650669861,-1.185834045,0.1686991882,0.3674363196,-0.1064821333,0.3364675939,2,Jumping
0.9735754395,-0.03278182983,-0.3671864319,0.3190203309,0.03276799619,0.2644683421,2,Jumping
1.332079926,0.86235672,-0.7032376099,0.2674229145,0.07101072371,0.1623651534,2,Jumping
1.743873596,1.464255066,-0.6973997498,0.1973757893,0.1183719635,0.03074944019,2,Jumping
2.025887146,2.180066528,-0.5014572144,0.2063306719,0.163837716,-0.116266638,2,Jumping
2.050885162,2.473905487,-0.1710942078,0.2300216258,0.1943304688,-0.236462146,2,Jumping
1.448986816,1.961970062,-0.2758763123,0.195495069,0.1451269686,-0.3487170637,2,Jumping
0.7448510742,1.051712952,-1.121467896,0.110508427,0.1080426574,-0.4527010322,2,Jumping
0.4688250732,0.6914122009,-2.005978546,-0.04558024555,0.1822364628,-0.5499759316,2,Jumping
0.2215393066,0.609382782,-2.790497131,-0.2490968257,0.3271576464,-0.6395816207,2,Jumping
-0.3709286499,0.255668335,-3.16397049,-0.4245421588,0.4353954196,-0.6837717295,2,Jumping
-1.012494507,-0.2142045593,-2.415526886,-0.5004280806,0.4299244583,-0.6617521644,2,Jumping
-1.301992493,-0.7179071045,-0.6858737183,-0.3842633963,0.2952931523,-0.6098117232,2,Jumping
-1.306333466,-1.748513947,1.120569763,-0.183179155,0.09889215976,-0.5197910666,2,Jumping
-1.402733002,-3.173999634,1.783840485,-0.1399826705,-0.1535384804,-0.4373955131,2,Jumping
-1.433868256,-5.224286041,0.8418493652,-0.1203226298,-0.5161107183,-0.3401094973,2,Jumping
-1.187480621,-8.296048279,-0.470022583,-0.08936630189,-0.7438826561,-0.2360523492,2,Jumping
-1.01683548,-11.74038574,-1.258283386,-0.2547621727,-0.6704915166,-0.09155070037,2,Jumping
-0.8987310791,-15.65025513,-2.369273071,-0.6796823144,-0.5525323749,-0.03902011365,2,Jumping
-0.1499880981,-19.1528215,-2.859204254,-0.9006910324,-0.6268988848,-0.1351722777,2,Jumping
0.9692344666,-20.39703415,-0.8072712708,-0.6675422192,-0.3546682,-0.2280316502,2,Jumping
0.2980302429,-20.33910461,1.523232422,-0.3629864454,0.2309373617,-0.1824480295,2,Jumping
-1.631457367,-18.5383493,2.619552612,-0.08651011437,0.5672834516,0.03465339541,2,Jumping
-2.542313232,-16.93832657,3.362757111,0.3580370843,0.5291535854,0.3062302172,2,Jumping
-2.455044708,-16.78190186,3.48804657,0.528501749,0.5138268471,0.4618173838,2,Jumping
-1.093925171,-17.76056671,1.619482269,0.4750461578,0.4874533117,0.4355403781,2,Jumping
1.6416362,-19.54455688,-0.480201416,0.3396398723,0.5498484969,0.3702942431,2,Jumping
2.943179626,-21.33019363,-1.221010895,0.1886952221,0.5795623064,0.3489610851,2,Jumping
2.7192453,-22.94623306,-1.187779999,0.07490793616,0.4397966862,0.3743841648,2,Jumping
2.209405518,-23.24815521,-0.577199707,-0.03859669343,0.196040079,0.4124783278,2,Jumping
1.628014526,-21.59933395,-0.1716929626,-0.08794986457,0.04759442434,0.4347237051,2,Jumping
1.343755646,-19.30385742,0.259410553,-0.0704703629,0.06681207567,0.4607430398,2,Jumping
1.10575058,-17.5231604,0.5484594727,-0.04123497382,0.175311923,0.48139745,2,Jumping
0.6915618896,-16.02627319,0.4381388855,-0.04353302717,0.3027427793,0.4842834473,2,Jumping
0.1678010559,-14.72308319,-0.005089416504,-0.05055578053,0.4315527081,0.4765411019,2,Jumping
-0.1722917175,-13.42004288,-0.2389031982,-0.02947163209,0.5498930216,0.4596323371,2,Jumping
-0.3252735901,-11.97270264,0.1908531189,-0.007288565394,0.5890068412,0.4383531511,2,Jumping
-0.4243675232,-10.55859329,0.7729925537,0.01439729705,0.5811188817,0.4126334488,2,Jumping
-0.5363346863,-9.321715393,0.7475454712,0.0642029345,0.584862709,0.3864367306,2,Jumping
-0.3013233948,-8.103099518,0.5993536377,0.1081135795,0.6108164191,0.3630229831,2,Jumping
0.2321672058,-6.941664734,0.605640564,0.1245841607,0.617015481,0.3226350844,2,Jumping
0.8605604553,-5.771548004,0.292641449,0.1387501359,0.5342072845,0.2786048055,2,Jumping
1.313518524,-4.518803101,-0.09505233765,0.1356369108,0.4296662509,0.2458964139,2,Jumping
1.309027863,-3.07026535,-0.2050735474,0.1174292341,0.3769518435,0.176690802,2,Jumping
1.261576538,-1.486109619,-0.3230282593,0.04135923833,0.3742351532,0.05732180178,2,Jumping
1.45557312,0.1085243225,-1.006656647,-0.09502799809,0.3018984497,-0.115177907,2,Jumping
2.016756134,1.577120361,-1.932032318,-0.1741329283,0.220429942,-0.2582343817,2,Jumping
