,X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),Subject,Activity
0,-7.102580109,0.03442840576,7.284451904,0.0103944093,0.04878456146,-0.1274955273,2,Pushups
1,-6.977440338,0.2589614868,6.761738892,-0.02524979413,0.03524157032,-0.1255376786,2,Pushups
2,-6.91636734,0.450712738,6.268813934,-0.06811789423,-0.01468284335,-0.1036648676,2,Pushups
3,-6.840924225,0.5331912231,5.995033264,-0.1092323065,-0.07711106539,-0.06940356642,2,Pushups
4,-6.833589478,0.5376818848,6.017935638,-0.129608959,-0.1507536024,-0.03781022131,2,Pushups
5,-6.772217102,0.6170169067,6.37000351,-0.1146867275,-0.2083753496,-0.0281722378,2,Pushups
6,-6.760391693,0.6776408386,6.838828583,-0.07800514996,-0.2315040976,-0.03434304893,2,Pushups
7,-6.728507996,0.6177653503,7.00528244,-0.04092418775,-0.1932675242,-0.05071426928,2,Pushups
8,-6.785988464,0.5581892395,6.83793045,-0.01924925297,-0.1343916804,-0.05633833632,2,Pushups
9,-7.003635864,0.5671705627,6.597380676,-0.006843747571,-0.08534700423,-0.06006342918,2,Pushups
10,-7.300019531,0.6360273743,6.340814209,-0.01575122215,-0.06489552557,-0.04679502547,2,Pushups
11,-7.558981018,0.7578739929,6.06688385,-0.05259684101,-0.04515426978,-0.03102292307,2,Pushups
12,-7.762108612,0.781973877,5.861361237,-0.1163089722,-0.04049932957,-0.0186472144,2,Pushups
13,-7.824977875,0.7015910339,5.896987152,-0.1619793028,-0.06190834567,-0.01622499339,2,Pushups
14,-7.816744995,0.6188131714,6.342909851,-0.1849828959,-0.08662834018,-0.02894824557,2,Pushups
15,-7.736811218,0.5800437927,6.841073914,-0.1878812462,-0.1133548766,-0.06143533438,2,Pushups
16,-7.63711853,0.6637197876,7.234455872,-0.1710857451,-0.1415905058,-0.09899069369,2,Pushups
17,-7.632777557,0.7533833313,7.55987915,-0.1457712948,-0.1481363922,-0.1378837228,2,Pushups
18,-7.799381104,0.8388555908,7.821235657,-0.144932121,-0.1236957684,-0.1750657111,2,Pushups
19,-8.118517456,0.9026229858,7.897876282,-0.1645965725,-0.0924167335,-0.200641796,2,Pushups
