,X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),Subject,Activity
0,11.67137924,-6.517596588,-10.54586975,-1.369880795,-0.2330307066,-1.510032535,2,Squads
1,10.05099884,-6.807843018,-10.49587372,-1.27290976,-0.2353878766,-1.354632497,2,Squads
2,7.267088013,-6.046376495,-10.19365219,-1.151012301,-0.00945100747,-1.14234674,2,Squads
3,6.358028412,-4.617747345,-9.694440308,-1.155085325,-0.0765144676,-0.8857355118,2,Squads
4,6.763235779,-3.248993683,-10.20622604,-1.156784892,0.1163558289,-0.7935945392,2,Squads
5,7.866890717,-2.611170044,-9.847122803,-1.173359871,0.2296120673,-0.7094607353,2,Squads
6,9.760752411,-2.898123322,-9.485774231,-1.251342058,0.1025445014,-0.5513862967,2,Squads
7,10.65514252,-2.814746704,-11.22874969,-1.213595033,0.008545570076,-0.4154430926,2,Squads
8,10.06252487,-3.546874237,-11.6016243,-1.081598043,-0.01674111187,-0.456928134,2,Squads
9,11.61240189,-5.794151001,-11.84606598,-0.8233444691,-0.1001164317,-0.4343075156,2,Squads
10,11.14312775,-5.981710968,-11.43067978,-0.5968606472,-0.0972731784,-0.3950980306,2,Squads
11,10.60664337,-5.929768982,-10.9884993,-0.3777075112,-0.08584342152,-0.3934399486,2,Squads
12,10.85258194,-6.531517639,-11.36885834,-0.2326044887,-0.1306160092,-0.1360188127,2,Squads
13,9.557026062,-3.799548798,-11.22635468,-0.1209131181,-0.02083066106,-0.03208469227,2,Squads
14,9.795779572,-3.083587646,-10.58957886,-0.02422782965,0.05535927787,0.06852939725,2,Squads
15,10.00624191,-3.447630615,-10.29663803,0.07895474881,0.09599032998,0.1246462017,2,Squads
16,10.84210373,-3.65539856,-10.50739975,0.229358837,0.03382973,0.1966986954,2,Squads
17,11.34805161,-4.512366486,-11.08834167,0.374496609,-0.09459535033,0.2894009352,2,Squads
18,10.96903976,-5.254373474,-11.65656006,0.5323193669,-0.2223497033,0.400218159,2,Squads
19,10.60828995,-5.622008972,-11.67946243,0.6950747371,-0.3166013658,0.5146131516,2,Squads
20,10.28660889,-5.478008423,-11.42603943,0.8198660612,-0.3781411052,0.6301171184,2,Squads
21,9.948462067,-4.943919067,-11.07486969,0.9044840336,-0.4504616261,0.7239310145,2,Squads
22,9.32905014,-4.410578156,-10.73178314,0.9623751044,-0.462266475,0.8491638303,2,Squads
23,8.749305725,-4.076472931,-10.39707916,1.004816771,-0.3847034872,0.9239547253,2,Squads
24,8.859476624,-3.309617615,-10.00489471,1.075121164,-0.3791294992,0.9878798723,2,Squads
25,8.6328479,-3.439846802,-10.46249313,1.159762859,-0.388277173,1.040651202,2,Squads
26,8.632249146,-3.769760742,-10.62625259,1.215941548,-0.4066487551,1.091459632,2,Squads
27,8.644822998,-4.143683167,-10.0740509,1.312044144,-0.4240783453,1.153620481,2,Squads
28,8.976832581,-4.18185379,-8.871152344,1.372457027,-0.4213966429,1.240404129,2,Squads
29,8.846004639,-3.686084747,-8.214318237,1.386841655,-0.3639349341,1.281875134,2,Squads
30,8.64572113,-3.322490845,-8.630452881,1.397125602,-0.2662964761,1.299629331,2,Squads
31,8.287965088,-3.384461975,-8.822952576,1.405016541,-0.2136598974,1.331311107,2,Squads
32,7.293283539,-3.513942719,-8.678053894,1.448489547,-0.05684002861,1.313296676,2,Squads
33,7.023694153,-3.721560974,-8.339757385,1.541679382,0.01780251786,1.293092966,2,Squads
34,7.459587708,-3.984414368,-7.585775299,1.582555771,-0.0191581957,1.38306427,2,Squads
35,6.758296051,-3.994144135,-6.670279083,1.534986734,-0.02683529258,1.460563064,2,Squads
36,6.504723358,-3.909420319,-7.161258087,1.497973561,0.08136406541,1.449789047,2,Squads
37,7.40435257,-4.161645813,-7.380102997,1.487938166,0.223718822,1.449522972,2,Squads
38,7.380252686,-4.641248474,-7.041806488,1.424636006,0.333027482,1.446879625,2,Squads
39,7.055428162,-5.165757751,-7.187902679,1.350497603,0.221561417,1.529051781,2,Squads
40,6.31491806,-5.530249786,-6.906188507,1.301045895,0.1169273406,1.656564474,2,Squads
41,5.158123627,-5.621559906,-6.203100586,1.299370289,0.2547291517,1.687536597,2,Squads
42,4.997058563,-5.666017456,-6.025719452,1.420158863,0.5129694939,1.631639838,2,Squads
43,5.448070679,-6.036796417,-5.596412201,1.490633845,0.7141811848,1.619851112,2,Squads
44,5.239254913,-6.519392853,-5.642216949,1.515799761,0.7635798454,1.614714384,2,Squads
45,4.980892181,-7.025041351,-6.104006653,1.565671921,0.5876916647,1.665198326,2,Squads
46,4.636159058,-7.39372467,-5.90312439,1.629247546,0.4076749086,1.757530212,2,Squads
47,3.802542572,-7.482340393,-5.142705688,1.73173058,0.3050510585,1.784766316,2,Squads
48,3.609144745,-7.456144867,-4.720284119,1.908064961,0.1204926446,1.815483093,2,Squads
49,3.15334259,-7.31184494,-4.167633362,1.997217059,0.003402506001,1.767782927,2,Squads
50,2.748135223,-7.014862518,-3.971690826,1.976899266,-0.05209960416,1.643699169,2,Squads
51,2.625540161,-6.496640167,-3.876638489,1.890951872,-0.1173225418,1.46574533,2,Squads
52,2.367626495,-6.005212097,-3.713777161,1.759581566,-0.289137423,1.284983039,2,Squads
53,1.876048737,-5.47127243,-3.55241272,1.664339542,-0.4731996655,1.124688506,2,Squads
54,1.2952565,-4.823419647,-3.172203369,1.594566941,-0.6261075139,0.986218214,2,Squads
55,0.6846762085,-4.174369354,-2.53437973,1.492963076,-0.6738238931,0.8751915693,2,Squads
56,0.1167572021,-3.517385559,-2.03127594,1.316978812,-0.626933217,0.8177927732,2,Squads
57,-0.3724255371,-2.881657562,-1.722767487,1.089688659,-0.5246872306,0.7342331409,2,Squads
58,-0.3441343689,-2.358345795,-1.669627991,0.8037443757,-0.3673149943,0.6366372705,2,Squads
59,-0.1781295776,-1.906884613,-2.201921082,0.5641853213,-0.2650583982,0.5205511451,2,Squads
60,-0.08771759033,-1.800156555,-2.645149384,0.3791216612,-0.3999140859,0.4252292216,2,Squads
61,-0.2157014465,-1.872905273,-2.27586731,0.2156083882,-0.5960345864,0.3452811241,2,Squads
62,-0.6108796692,-1.916913757,-1.35962265,0.03490880132,-0.7753007412,0.289565146,2,Squads
63,-0.527353363,-1.757794647,-0.6532415771,-0.1564166844,-0.911585331,0.2540170252,2,Squads
64,-0.2142045593,-1.368603973,-0.4420307922,-0.2997455001,-0.947069943,0.2207716107,2,Squads
