X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),Subject,Activity
0.242273286,-9.329017639,-2.680559635,-1.081344724,-0.532083869,0.2260957062,3,Jumping
-0.4378865361,-7.475177765,-0.950548768,-1.020626426,-0.5501928329,0.2527265251,3,Jumping
0.05563312769,-4.691128731,1.344168067,-0.6477948427,-0.6354115009,0.2591179311,3,Jumping
0.8985049129,-2.224128723,2.21156621,-0.1332872808,-0.6183677912,0.1675078869,3,Jumping
1.909472466,-0.6287141442,1.258026481,-0.003328853287,-0.487344116,0.1280942708,3,Jumping
1.713261008,-0.1256231815,-0.08374879509,-0.2110492885,-0.4255605936,0.1142462417,3,Jumping
0.285344094,-0.7770691514,-0.2943171859,-0.4901403487,-0.293471694,0.0822892487,3,Jumping
-1.152144074,-3.105285645,0.290129751,-0.6914693713,-0.1177082509,0.04500609636,3,Jumping
-0.7543373108,-5.246861935,0.05084748194,-0.7521876693,-0.2636451721,0.02476666868,3,Jumping
0.6592226624,-4.787439823,-1.410568953,-0.7671009302,-0.9603075981,-0.007190322969,3,Jumping
0.5922235847,-4.753940582,-4.04087925,-0.8278192282,-1.700644493,-0.06684337556,3,Jumping
0.4049852192,-5.141577721,-6.297310829,-0.8959941268,-1.916886806,-0.1275616586,3,Jumping
0.3714857101,-5.922834396,-8.108677864,-0.85764575,-1.504641652,-0.103061296,3,Jumping
0.4671986103,-7.283154011,-9.656235695,-0.7521876693,-0.841001451,0.06844121963,3,Jumping
0.3332005441,-9.372088432,-9.061619759,-0.5828156471,-0.4170387387,0.3006620109,3,Jumping
-0.4618147612,-12.03111267,-6.292525291,-0.3005288541,-0.4884093404,0.4135767221,3,Jumping
-1.99501586,-14.95394516,-3.825525284,0.06910699606,-0.7898702621,0.3091838956,3,Jumping
-3.518645763,-16.75035667,-1.578066587,0.3663070202,-0.7738918066,0.01091863867,3,Jumping
-4.984847546,-15.6436758,0.7645068169,0.5111786723,-0.405321151,-0.3683043122,3,Jumping
-6.158527374,-12.86979675,1.679761529,0.7508561015,-0.1944050342,-0.6963961124,3,Jumping
-6.273382664,-11.53280735,-0.2608176768,1.136470437,-0.2977326214,-0.8476591706,3,Jumping
-5.626722336,-12.41934776,-3.600001574,1.411300659,-0.4543218911,-0.715570271,3,Jumping
-4.697110653,-13.88076401,-4.980062008,1.490127802,-0.659911871,-0.4758928418,3,Jumping
-3.346362352,-14.39821243,-2.699702263,1.59025979,-0.7653699517,-0.3374125659,3,Jumping
-1.822732687,-14.07697582,-0.7926225066,1.825676203,-0.7003906965,-0.3501953483,3,Jumping
-0.9122636318,-14.90549088,-1.774876237,1.940854549,-0.4820179343,-0.4545882046,3,Jumping
-1.578066587,-17.98146439,-3.935595036,1.896114826,-0.2892107666,-0.6314168572,3,Jumping
-4.481756687,-22.88734818,-6.139384747,1.777740717,-0.1858831644,-0.8721595407,3,Jumping
-7.284350395,-28.6127758,-4.314259052,1.596651196,-0.1624480337,-1.109706521,3,Jumping
-8.19481945,-31.3483696,-0.926620543,1.327147245,-0.1336867511,-1.222621202,3,Jumping
-6.48933506,-27.46302414,-1.055832982,1.002251148,-0.06444659829,-1.175750971,3,Jumping
-3.03948307,-22.51885414,-3.020340443,0.7487256527,-0.1155777797,-1.059640527,3,Jumping
-0.05982056633,-20.43949127,-3.772883177,0.6081148982,-0.2167749256,-0.9488562942,3,Jumping
1.64626193,-19.9029007,-4.299902439,0.4525908828,-0.2604494691,-0.7954627872,3,Jumping
1.842473388,-19.23709679,-4.754538536,0.3577851355,-0.2998631001,-0.6495258212,3,Jumping
0.6783652306,-17.49751472,-4.558327198,0.3790898025,-0.3467333615,-0.5685681105,3,Jumping
