X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),Subject,Activity
0.4289134443,-9.879964828,-0.7208378315,0.005193010904,0.1006645188,0.056723658,3,Squads
0.4911268353,-9.860821724,-0.8356932998,0.01584534161,0.04846810177,0.05565842614,3,Squads
0.5778666735,-10.04746246,-0.9744769931,0.03821523488,0.01970681176,0.0599193573,3,Squads
0.5682953596,-10.14855862,-0.9218349457,0.04354140162,0.01544587873,0.05139749497,3,Squads
0.4815555513,-10.09531879,-0.8739784956,0.03395430371,0.02396774292,0.03648423031,3,Squads
0.4480560422,-10.09053326,-0.7686942816,0.03821523488,0.01757634431,0.02583190054,3,Squads
0.4911268353,-9.966106415,-0.6873382926,0.0467370972,0.01011971384,0.01304910425,3,Squads
0.5635097623,-9.903892517,-0.7016952634,0.05206326395,-0.006924014539,-0.0007989247679,3,Squads
0.6209374666,-9.97567749,-0.7878368497,0.05525896326,-0.02396774292,-0.008255556226,3,Squads
0.5587241054,-9.913464546,-0.6825526357,0.0541937314,-0.03355484083,-0.01677742042,3,Squads
0.5150550604,-9.961320877,-0.7160521746,0.0573894307,-0.04420717061,-0.02636451647,3,Squads
0.5006981492,-9.956535339,-0.7399803996,0.06271559745,-0.05379426852,-0.03062544949,3,Squads
0.4480560422,-9.913464546,-0.7591229677,0.07017222792,-0.07296846062,-0.03062544949,3,Squads
0.4049852192,-9.884750366,-0.8165507317,0.0733679235,-0.08255556226,-0.03169068322,3,Squads
0.3954139352,-9.923035622,-0.8787640929,0.07230269164,-0.08149032295,-0.03488638252,3,Squads
0.4001995921,-9.961320877,-0.9074779749,0.07230269164,-0.07509893179,-0.03808208182,3,Squads
0.3619144261,-9.97567749,-0.8644071817,0.06697652489,-0.06444659829,-0.04234301299,3,Squads
0.366700083,-9.932606697,-0.8356932998,0.06271559745,-0.06551183015,-0.04660394415,3,Squads
0.3762713671,-9.923035622,-0.8261220455,0.08615072072,-0.04953333735,-0.05938674137,3,Squads
0.3619144261,-9.908679008,-0.8309076428,0.07230269164,-0.09853405505,-0.04234301299,3,Squads
0.3332005441,-9.951749802,-0.8835497499,0.05312849581,-0.1091863886,-0.04234301299,3,Squads
0.3475574851,-9.951749802,-0.8835497499,0.05312849581,-0.1017297506,-0.04553871229,3,Squads
0.4049852192,-9.932606697,-0.8644071817,0.04460663348,-0.1049254537,-0.04766917601,3,Squads
0.3332005441,-9.875179291,-0.8213363886,0.03608476743,-0.1123820841,-0.0519301109,3,Squads
0.4193421602,-9.879964828,-0.926620543,0.0275629051,-0.1209039465,-0.0519301109,3,Squads
0.4624129832,-9.899106979,-0.9170492887,0.02010627277,-0.1304910481,-0.04979964346,3,Squads
0.5006981492,-9.956535339,-1.003190875,0.01051917579,-0.1315562725,-0.04553871229,3,Squads
0.5294120312,-9.956535339,-0.9936196208,0.000932078925,-0.1177082509,-0.03914731368,3,Squads
0.5198407173,-9.966106415,-0.9744769931,-0.006524552125,-0.09959928691,-0.03382114694,3,Squads
0.4671986103,-9.999606133,-0.9457631707,-0.01291595027,-0.09746882319,-0.02956021577,3,Squads
0.4145565331,-9.97567749,-0.9122636318,-0.01930734888,-0.1070559174,-0.02529928461,3,Squads
0.3858426511,-9.94696331,-0.9361918569,-0.02676397935,-0.116643019,-0.02529928461,3,Squads
0.3858426511,-9.97567749,-0.97926265,-0.03954677656,-0.1177082509,-0.02636451647,3,Squads
0.4097708762,-10.01396275,-0.97926265,-0.06085143611,-0.116643019,-0.02742975019,3,Squads
0.4241278172,-9.990034103,-1.007976532,-0.08322133124,-0.1059906855,-0.02316881903,3,Squads
0.4145565331,-9.951749802,-0.9888339639,-0.1077216864,-0.09746882319,-0.0146469539,3,Squads
0.4193421602,-9.932606697,-0.9457631707,-0.1375482082,-0.09107742459,-0.002929390874,3,Squads
0.4576273263,-9.942177773,-0.9170492887,-0.1812227666,-0.09107742459,0.009853405878,3,Squads
0.4767699242,-9.951749802,-0.955334425,-0.2419410497,-0.1049254537,0.02796236612,3,Squads
0.4528416991,-9.932606697,-0.9074779749,-0.3367467821,-0.139012903,0.04820179567,3,Squads
0.3954139352,-9.856036186,-0.8500502706,-0.4699009061,-0.1645784974,0.08122401685,3,Squads
0.3714857101,-9.860821724,-0.7926225066,-0.6403381824,-0.1240996495,0.1206376404,3,Squads
0.4097708762,-9.961320877,-0.7639086246,-0.8320801258,-0.03462007269,0.177094996,3,Squads
0.4049852192,-10.09531879,-0.7878368497,-1.019561172,0.05059856921,0.2527265251,3,Squads
0.2518445849,-10.16770172,-0.8787640929,-1.199585557,0.1251648813,0.3432713449,3,Squads
0.1178465188,-10.22991467,-1.161715388,-1.38387084,0.1954702586,0.4286231399,3,Squads
0.1130608693,-10.39262676,-1.554138303,-1.601178408,0.3105154335,0.5031894445,3,Squads
0.0747757107,-10.46919727,-1.707877159,-1.904769778,0.5342143774,0.5756253004,3,Squads
0.02691925503,-10.30648518,-1.841875196,-2.219013453,0.8015878797,0.6512568593,3,Squads
0.03649054468,-9.846465111,-1.937588096,-2.425668716,0.950720489,0.7194317579,3,Squads
0.1752742529,-9.305088997,-2.047657967,-2.559888124,0.9485899806,0.753519237,3,Squads
0.4193421602,-8.821140289,-2.651247501,-2.635519743,0.9059807062,0.7098446488,3,Squads
0.7022934556,-8.313263893,-3.303291559,-2.524735451,0.8015878797,0.5766905546,3,Squads
0.970289588,-7.738388538,-3.135195971,-2.237122536,0.4958659708,0.4071853161,3,Squads
1.186241865,-7.182655334,-2.915056229,-1.905835032,0.0229025092,0.2814878225,3,Squads
1.521237016,-6.875775814,-2.828914642,-1.617156863,-0.3925383687,0.2154433727,3,Squads
2.182852507,-6.746563435,-1.971087694,-1.388131738,-0.66949898,0.1685731262,3,Squads
2.762513638,-6.545566559,-0.9601200819,-1.217694521,-0.8143706322,0.137681365,3,Squads
2.724228621,-6.353542328,-0.6107679605,-1.107975483,-0.8015878797,0.1802906841,3,Squads
2.3216362,-6.502495766,-0.8213363886,-1.060039997,-0.687607944,0.2750964165,3,Squads
2.091326952,-7.350152969,-1.28614223,-1.068561912,-0.5661713481,0.3965329826,3,Squads
1.828116536,-8.553144455,-1.688734531,-1.069627166,-0.6215634942,0.5394073725,3,Squads
0.7884350419,-9.745966911,-2.306680918,-1.051518202,-0.7312824726,0.704518497,3,Squads
-0.2464607358,-10.93878841,-2.757129908,-1.046191931,-0.6492595077,0.8014547229,3,Squads
-1.012762189,-11.98804188,-3.561716557,-1.094127417,-0.3573856652,0.8099765778,3,Squads
-1.822732687,-12.72084332,-3.806382656,-1.195324659,0.03355484083,0.7694976926,3,Squads
-2.900699139,-12.27099228,-3.686143398,-1.281608462,0.3744294047,0.722627461,3,Squads
-3.120838881,-11.03928757,-3.633501291,-1.349783421,0.6609770656,0.665104866,3,Squads
-2.785843849,-9.549157143,-3.317648649,-1.411566854,0.7600437403,0.5660381913,3,Squads
-2.373680115,-8.294121742,-3.341576815,-1.410501719,0.5928021669,0.4882761836,3,Squads
-1.784447432,-7.590033531,-3.485146284,-1.338065863,0.4159734845,0.4563191831,3,Squads
-0.7016952634,-7.518248558,-4.716253281,-1.250716686,0.3275591433,0.4360797703,3,Squads
0.4480560422,-8.12183857,-6.211169243,-1.223020673,0.2583190203,0.4456668794,3,Squads
0.6640082598,-8.538787842,-6.201598167,-1.234738231,0.2082530558,0.4563191831,3,Squads
0.3954139352,-8.711071014,-6.105885029,-1.241129637,0.1858831644,0.4307536185,3,Squads
0.342771858,-8.801998138,-5.621936798,-1.265630007,0.1677742004,0.3784240186,3,Squads
-0.02632104978,-8.452047348,-4.591826439,-1.298652172,0.005858781748,0.33474949,3,Squads
0.007776673418,-8.131409645,-4.107878208,-1.257108092,-0.2998631001,0.3155752718,3,Squads
0.6544370055,-7.929814339,-3.724428415,-1.180411339,-0.5501928329,0.3059881926,3,Squads
1.392024517,-7.738388538,-4.395615101,-1.117562652,-0.6375419497,0.2697702646,3,Squads
1.368096352,-7.52782011,-6.120242119,-1.080279469,-0.6982602477,0.2623136342,3,Squads
0.6879364848,-6.933801651,-6.704689026,-1.085605621,-0.7728265524,0.2964010835,3,Squads
0.1992024779,-6.602993965,-6.50369215,-1.10477984,-0.7685656548,0.3166405261,3,Squads
0.1178465188,-6.598208427,-6.220740795,-1.118627787,-0.6322157979,0.3326190114,3,Squads
-0.524028182,-6.540780544,-5.736792088,-1.172954679,-0.405321151,0.3485974967,3,Squads
-1.67437768,-6.684350014,-5.545366287,-1.226216316,-0.2615146935,0.3454017937,3,Squads
-1.956730723,-7.134799004,-5.416153908,-1.259238601,-0.2221010923,0.3507279754,3,Squads
-1.784447432,-7.388438225,-5.252843857,-1.280543208,-0.2157096863,0.3848154247,3,Squads
-1.91365993,-7.436892986,-5.665007591,-1.280543208,-0.1507304758,0.4071853161,3,Squads
-1.904088616,-7.456035137,-6.201598167,-1.269890904,-0.03355484083,0.4039896131,3,Squads
-2.378465652,-7.475177765,-6.814758778,-1.259238601,0.09746882319,0.3709673882,3,Squads
-3.265006542,-7.41236639,-7.011568546,-1.278412819,0.290275991,0.2964010835,3,Squads
-3.609572887,-7.082156658,-6.757331371,-1.31782639,0.3563204408,0.2623136342,3,Squads
-3.49471736,-6.598208427,-6.68076086,-1.35191381,0.2402100414,0.2367480397,3,Squads
-3.135195971,-6.114260197,-6.244668961,-1.384936094,0.1219691783,0.1696383655,3,Squads
-2.249253273,-5.534598827,-6.460621357,-1.394523144,-0.01331541315,0.08015878499,3,Squads
-1.741376638,-5.275575638,-6.642475605,-1.37641418,-0.1720351279,-0.03062544949,3,Squads
